"rank","tier","score","company","country","market","website","type","representative_works","scale","transaction_signal","score_breakdown","deal_types","contact_email","contact_note","contact_url","outreach_angle","next_step","confidence","source_1","source_2","source_3","source_4"
"11","B","77","Storms","Singapore","SEA mobile/social games","https://storms.com/about-us/","Mobile/social games publisher and advisory studio","Lightning Storm; Casual mobile and instant games; Game advisory","Official about page lists Singapore base and partnership contact; LinkedIn says invested in by iCandy, AIS and SK Telecom.","Clear partnership email and iCandy parent route; practical entry point for SEA social/casual distribution.","投资/收购信号 18 / 产品契合 18 / 发行/UA/LiveOps 17 / 战略协同 14 / 触达可行性 10","Publishing; Partnership; iCandy acquisition referral","partnership@storms.com","Official partnership email.","https://storms.com/about-us/","Ask whether Storms/iCandy would evaluate a Family Island-like product as a publishing or strategic asset.","Wave 1: email partnership@storms.com and mirror to iCandy info@.","High","Storms official about - https://storms.com/about-us/","Storms LinkedIn - https://sg.linkedin.com/company/storms","iCandy Storms acquisition - https://www.icandy.io/project/icandy-completes-storms-acquisition-positions-itself-in-the-centre-of-gaming-metaverse-and-nfts/",""
"12","B","74","Play Ventures","Singapore / Finland","Global gaming VC","https://www.play.vc/","Gaming VC / investor","Portfolio includes mobile studios and gaming infrastructure; Fund II $135M","Official site calls Play Ventures a leading gaming and consumer apps VC investing globally.","Best investor route in Singapore for funding bridge or buyer-intro process; not a publisher/acquirer by default.","投资/收购信号 20 / 产品契合 15 / 发行/UA/LiveOps 15 / 战略协同 14 / 触达可行性 10","Seed/bridge investment; Investor intro; Strategic financing","未公开公司级邮箱","Use official Apply for Funding; women@play.vc is diversity contact, not BD.","https://www.play.vc/contact","Frame as a distressed but KPI-validated mobile studio asset: small round or structured investment to preserve upside.","Wave 1 investor lane: submit funding application; request warm intros to portfolio publishers.","High","Play Ventures official site - https://www.play.vc/","Play Ventures contact - https://www.play.vc/contact","Play Ventures portfolio - https://www.play.vc/portfolio-2025",""
"13","B","73","Global Top Round (GTR)","Singapore / global","Global indie and publisher network","https://www.globaltopround.com/","Game accelerator / funding and publisher-network platform","Annual accelerator cohorts; Global publisher exposure; Fundraising support","Official site says GTR selects up to 10 games annually and provides funding, publishing expertise, fundraising help and publisher exposure.","Strong network path if direct M&A outreach stalls; not a classic acquirer.","投资/收购信号 18 / 产品契合 16 / 发行/UA/LiveOps 14 / 战略协同 15 / 触达可行性 10","Funding; Publisher matching; Acceleration","未公开公司级邮箱","Use official batch application/contact route.","https://www.globaltopround.com/","Use US KPI traction to request accelerated publisher/investor matching rather than generic cohort timing.","Wave 1 investor/network lane: submit pitch and ask for emergency bridge/buyer intros.","High","Global Top Round official site - https://www.globaltopround.com/","GTR application listing - https://www.sparkxyz.io/applications/1774","GTR accelerator profile - https://prodevs.io/accelerators/global-top-round",""
"14","B","72","Gamota / Appota Group","Vietnam","Vietnam","https://gamota.com/","Mobile game publisher ecosystem","100+ published mobile titles; Vietnam mobile publishing services","LinkedIn page states Gamota is a top-three Vietnam mobile game publisher with 15M+ players and 100+ titles.","Strong local publishing and market-entry route; strategic buyer signal is moderate.","投资/收购信号 14 / 产品契合 17 / 发行/UA/LiveOps 19 / 战略协同 14 / 触达可行性 8","Vietnam publishing; Co-publishing; Strategic investment","未公开公司级邮箱","Use Appota/Gamota official Contact Us; confirm BD owner before sending sensitive KPIs.","https://appota.com/","Pitch Vietnam market operation plus broader SEA data-sharing option.","Wave 2: contact Appota Group, then LinkedIn to Gamota BD/publishing team.","Medium","Appota official site - https://appota.com/","Gamota LinkedIn - https://www.linkedin.com/company/gamota","Gamota website - https://gamota.com/",""
"15","B","71","IGG","Singapore / global","Global mobile","https://www.igg.com/","Public mobile game developer/operator","Lords Mobile; Castle Clash; Doomsday: Last Survivors","IGG IR describes a leading global developer/operator of mobile games with HQ in Singapore and offices across many regions.","Large balance sheet and global operations; fit is weaker unless the game has strong monetization and live-ops potential.","投资/收购信号 16 / 产品契合 14 / 发行/UA/LiveOps 20 / 战略协同 14 / 触达可行性 7","Publishing; Strategic investment; Acquisition inquiry","未公开公司级邮箱","Use investor/corporate contact routes; verify current BD owner before sending detailed build.","https://investor.igg.com/index.php?lang=1","Position as a live-ops mobile asset with US-tested retention, not as a casual-only pitch.","Wave 2: corporate/IR inquiry with one-page metrics and ask for mobile investment/publishing review.","Medium","IGG investor relations - https://investor.igg.com/index.php?lang=1","IGG official site - https://www.igg.com/","Forbes IGG profile - https://www.forbes.com/companies/igg/",""
"16","B","71","4Divinity / GCL Global Holdings","Singapore / Hong Kong","Asia, global","https://www.4divinity.com/","Publishing subsidiary / public holding company","S.T.A.L.K.E.R. 2 regional publishing; Asian game publishing and distribution","GCL says 4Divinity operates from Singapore and Hong Kong and supports PC, console and mobile publishing.","Direct publishing enquiry email and 2026 strategic investment news at GCL.","投资/收购信号 19 / 产品契合 12 / 发行/UA/LiveOps 16 / 战略协同 14 / 触达可行性 10","Publishing; Strategic investment; Asia distribution","publish@4divinity.asia","Official publishing enquiries email.","https://www.4divinity.com/contact-us","Use as secondary publishing/investment route; emphasize mobile is supported, but expect stronger fit for PC/console unless strategic appetite broadens.","Wave 2: email publish@; ask whether mobile F2P asset is in current mandate.","High","4Divinity contact - https://www.4divinity.com/contact-us","GCL 4Divinity page - https://www.gclglobalholdings.com/4divinity","GCL news releases - https://ir.gclglobalholdings.com/news-events/news-releases",""
"17","B","70","Megaxus","Indonesia","Indonesia, SEA","https://corporate.megaxus.com/id/","Game publisher / developer","Audition AyoDance; Lineage II Indonesia; Fatal Raid: SEA Invasion","Official corporate page states 16+ years, 25M users and 27 games published.","Clear Indonesian publishing partner with BD and IR emails; acquirer capability uncertain.","投资/收购信号 14 / 产品契合 15 / 发行/UA/LiveOps 17 / 战略协同 14 / 触达可行性 10","Indonesia publishing; SEA co-publishing; Strategic partnership","business@megaxus.com; investor@megaxus.com","Official business and IR contacts.","https://corporate.megaxus.com/id/ir-contact","Pitch Indonesia and SEA publishing first; keep acquisition ask as optional if they want full asset control.","Wave 2: email business@; use investor@ only for investment/acquisition path.","High","Megaxus corporate - https://corporate.megaxus.com/id/","Megaxus IR contact - https://corporate.megaxus.com/id/ir-contact","Megaxus site pages - https://corporate.megaxus.com/id/sitePages",""
"18","B","69","Garena / Sea Limited","Singapore","Global, SEA","https://www.garena.sg/?lang=en-gb","Major online/mobile game developer and publisher","Free Fire; Call of Duty Mobile SEA; Arena of Valor regional publishing","Garena says it is a leading online games developer and publisher with global footprint across 160+ markets; part of Sea Limited.","Huge platform but likely selective; acquisition intent for small casual farming titles is uncertain.","投资/收购信号 16 / 产品契合 12 / 发行/UA/LiveOps 20 / 战略协同 15 / 触达可行性 6","Strategic publishing; Minority investment; SEA operating partnership","未公开公司级邮箱","Route via Sea corporate/IR or warm intro; generic consumer channels are not useful.","https://www.sea.com/investor/home","Only approach with a sharp business case: tested US retention, scalable UA economics and SEA/social operation potential.","Wave 2: prioritize warm intro; otherwise send to Sea IR/corporate contact and request Garena BD routing.","Medium","Garena official site - https://www.garena.sg/?lang=en-gb","Sea investor site - https://www.sea.com/investor/home","Sea products: Garena - https://www.sea.com/products/garena",""
"19","B","65","LYTO","Indonesia","Indonesia, SEA","https://www.lyto.net/","Online game publisher / entertainment group","Ragnarok Online Indonesia; Perfect World; Atlantica Online; Pamali film/game ecosystem","Official site describes LYTO as a pioneer SEA online game publisher with 300+ employees and 50M+ global users under LYTOGAME.","Strong local publishing history and explicit game partnership contact, though email is obfuscated on site.","投资/收购信号 13 / 产品契合 14 / 发行/UA/LiveOps 17 / 战略协同 14 / 触达可行性 7","Indonesia publishing; Licensing; Strategic partnership","Email shown on official site as protected/obfuscated","Use LYTO contact page game partnership route; do not rely on scraped email copies.","https://www.lyto.net/","Pitch Indonesian publishing/localization and community operation; acquisition is a secondary ask.","Wave 2: contact Game Partnership via official site and follow up by LinkedIn.","Medium","LYTO official site - https://www.lyto.net/","LYTO game portal - https://www.lytogame.com/","ANTARA Alibaba Cloud partnership - https://en.antaranews.com/news/136860/lyto-game-team-up-with-alibaba-cloud-indonesia",""
"20","B","65","Agate","Indonesia","Indonesia, global services","https://agate.id/","Game developer, co-dev, UA/live-ops services","Valthirian Arc; Riftstorm; Code Atma","Official site says Agate is a leading Indonesian game company with 200+ clients, 250+ games and UA/live-op services.","Useful strategic operator/co-dev partner; not primarily a publisher buyer, but has Qeon investment relationship.","投资/收购信号 12 / 产品契合 14 / 发行/UA/LiveOps 16 / 战略协同 14 / 触达可行性 9","Co-development; Indonesia/SEA operation; Strategic partnership","未公开公司级邮箱","Official contact page includes Business Development form.","https://agate.id/contact/","Ask for co-dev/live-ops support or investor intro if they are not the right buyer.","Wave 3: contact BD form; route via Qeon if pursuing investment discussion.","High","Agate official site - https://agate.id/","Agate contact - https://agate.id/contact/","Agate about - https://agate.id/about-us/","Qeon Agate investment page - https://www.qeon.com/business/agate"
"21","B","65","VTC / VTC Mobile / VTC Intecom","Vietnam","Vietnam","https://vtc.org.vn/","Vietnam digital content and game publisher group","Audition; Cross Fire Vietnam; Yulgang Origins; Football Pro VTC","VTC corporate site identifies games, esports and digital content as core areas; 2025 release highlights Best Game Publisher award.","Major Vietnam publishing group; contact is corporate, not necessarily BD-specific.","投资/收购信号 13 / 产品契合 13 / 发行/UA/LiveOps 17 / 战略协同 14 / 触达可行性 8","Vietnam publishing; Local operation; Strategic partnership","vtcfamily@vtc.vn","Corporate contact email; ask for VTC Mobile/VTC Intecom game publishing team.","https://vtc.org.vn/","Pitch Vietnam publishing plus regulatory/local operation support; acquisition as optional path.","Wave 3: send corporate inquiry and seek direct VTC Mobile publishing contact.","Medium","VTC corporate site - https://vtc.org.vn/","GlobeNewswire VTC award - https://www.globenewswire.com/news-release/2025/11/26/3194947/0/en/VTC-Rises-Game-Publisher-Secures-Industry-Icon-with-Major-Awards.html","VTC corporate profile PDF - https://vtc.org.vn/media/files/ProfileVTC_2012_2022%20%28E%29_view.pdf",""
"22","B","63","GameIndy","Thailand","Thailand, SEA ambitions","https://www.gameindy.com/","Game publisher / UA / live-ops services","ASURA; LineMaze; Thai co-publishing services","Official site states 10M+ downloads, 7M registered IDs and 500K+ MAU.","Strong Thai UA/localization/live-ops partner; likely smaller acquisition capacity.","投资/收购信号 10 / 产品契合 15 / 发行/UA/LiveOps 17 / 战略协同 14 / 触达可行性 7","Thailand publishing; Co-publishing; Live-ops services","Email shown as image on official site","Use official contact section; email is not text-extractable.","https://www.gameindy.com/","Lead with Thailand/SEA co-publishing and local UA, not outright sale.","Wave 3: contact via official section and executives' LinkedIn if available.","High","GameIndy official site - https://www.gameindy.com/","GameIndy Steam publisher profile - https://steambase.io/publishers/gameindy","GameIndy games page - https://www.gameindy.com/",""
"23","B","62","Zitga Studio","Vietnam","Global mobile","https://zitga.com.vn/","Mobile game developer / publisher","Family Adventure; Epic Garden; Frontline Hero","Official about page says Zitga focuses on mobile games and references Family Adventure, Frontline Hero and Epic Garden.","Direct product adjacency via Family Adventure; likely smaller strategic capacity.","投资/收购信号 9 / 产品契合 22 / 发行/UA/LiveOps 13 / 战略协同 13 / 触达可行性 5","Co-development; Asset acquisition inquiry; Publishing referral","未公开公司级邮箱","Use official contact/social; no verified company-level BD email found.","https://zitga.com.vn/about-us/","Open with genre similarity and ask if they are reviewing external farm/adventure IP or acqui-hire assets.","Wave 3: targeted founder/BD LinkedIn plus official form.","Medium","Zitga about - https://zitga.com.vn/about-us/","Zitga official site - https://zitga.com.vn/","Google Play publisher reference - https://play.google.com/store/apps/dev?id=ZITGA",""
"24","B","62","Appxplore (iCandy)","Malaysia","Global mobile, via iCandy","https://appxplore.com/","Mobile game studio under iCandy","Claw Stars; Crab War; Light A Way; Masketeers","Official about page says Appxplore is a Kuala Lumpur mobile studio and part of iCandy Interactive.","Relevant mobile studio, but acquisition/investment should route through iCandy parent.","投资/收购信号 14 / 产品契合 15 / 发行/UA/LiveOps 14 / 战略协同 13 / 触达可行性 6","Studio referral; Publishing/co-dev via iCandy; Acquisition route via iCandy","未公开公司级邮箱","Use Appxplore contact form, but route strategic talks through iCandy.","https://appxplore.com/dev/contact/","Ask for iCandy/Appxplore review of mobile casual-adventure asset.","Wave 2: include Appxplore only in iCandy thread, not as standalone buyer.","High","Appxplore about - https://appxplore.com/index.php/about","Appxplore contact - https://appxplore.com/dev/contact/","iCandy official site - https://www.icandy.io/",""
"25","C","60","Bravestars Games","Vietnam","Global mobile","https://bravestars.com/","Mobile game developer / publisher","Shadow of Death; Stickman action/casual portfolio; Submitted external games","Official about page positions Bravestars as a leading game development and publishing company with global ambitions.","Has explicit Submit your game form; public emails are HR/support rather than BD.","投资/收购信号 10 / 产品契合 14 / 发行/UA/LiveOps 16 / 战略协同 13 / 触达可行性 7","Publishing; Co-development; Strategic partnership","support@bravestars.com","Support email plus official Submit your game form; do not use HR for BD.","https://bravestars.com/about","Submit as an external game with validated US metrics and ask for publishing/investment owner.","Wave 3: submit game form and follow up to support requesting BD routing.","High","Bravestars about/contact - https://bravestars.com/about","Bravestars official site - https://bravestars.com/","Google Play publisher reference - https://play.google.com/store/apps/dev?id=Bravestars+Games",""
"26","C","60","Nuon / Dunia Games / Telkomsel","Indonesia","Indonesia","https://nuon.id/","Digital entertainment and game publishing platform","Dunia Games; AFK Champions; Lokapala publishing ecosystem","Telkomsel annual materials reference Dunia Games publishing and marketing programs.","Strong local distribution/platform route; direct M&A appetite unclear.","投资/收购信号 11 / 产品契合 13 / 发行/UA/LiveOps 17 / 战略协同 14 / 触达可行性 5","Indonesia publishing; Platform partnership; Telco distribution","未公开公司级邮箱","Use Nuon/Telkomsel corporate contact; verify game-publishing BD owner.","https://nuon.id/","Pitch Indonesia user acquisition and telco distribution; acquisition as optional after publishing traction.","Wave 3: corporate inquiry plus LinkedIn search for Nuon game publishing team.","Medium","Nuon official site - https://nuon.id/","Dunia Games - https://duniagames.co.id/","Telkomsel annual report reference - https://www.telkomsel.com/sites/default/files/2022-06/tsel2020-AR-webversion-FINAL.pdf",""
"27","C","59","Topebox","Vietnam","Global mobile","https://topebox.com/","Mobile game developer / publisher","Sky Dancer; Pocket Army; The Severed Gods","Official about page positions Topebox as a Vietnam-born studio pushing beyond outsourcing into global games.","Strong mobile craft and network; buyer/investment appetite less visible.","投资/收购信号 10 / 产品契合 15 / 发行/UA/LiveOps 15 / 战略协同 13 / 触达可行性 6","Publishing referral; Co-development; Strategic partnership","未公开公司级邮箱","Use official site/contact/social; verify current business contact before sending financial details.","https://topebox.com/about","Ask for publishing or co-development review; pitch KPI-first to overcome genre mismatch.","Wave 3: contact via official channels after A/B targets.","Medium","Topebox about - https://topebox.com/about","Topebox official site - https://topebox.com/","ModDB Topebox profile - https://www.moddb.com/company/topebox",""
"28","C","58","Actieon Interactive","Thailand","Global mobile","https://actieon.com/","Mobile game developer / publisher","Piggy Town; WZ1","Official site says founded in Thailand in 2024 and focused on developing/publishing mobile games worldwide; Piggy Town is a farm game.","High genre adjacency but new/small company, likely not an acquirer unless looking for complementary assets.","投资/收购信号 5 / 产品契合 21 / 发行/UA/LiveOps 10 / 战略协同 12 / 触达可行性 10","Co-development; Asset discussion; Referral","contact@actieon.com","Official site lists protected email; decoded from Cloudflare-protected address.","https://actieon.com/","Pitch as peer-to-peer asset/co-dev conversation around farm-game audience and global launch learning.","Wave 4: contact only after strategic buyer outreach.","High","Actieon official site - https://actieon.com/","Piggy Town site - https://piggy-town.com/en","Piggy Town Google Play - https://play.google.com/store/apps/details?hl=en_US&id=com.actieon.piggytown","Actieon LinkedIn - https://www.linkedin.com/company/actieon-interactive"
"29","C","57","SohaGame / VCCorp","Vietnam","Vietnam","https://sohagame.vn/en","Online/mobile game publisher","Vietnam licensed mobile/online portfolio; SohaCoin ecosystem","Official support page lists Soha Limited Company and G1 online game service license.","Useful Vietnam local publishing route; public contact is customer support/fanpage, so BD reachability is weak.","投资/收购信号 10 / 产品契合 13 / 发行/UA/LiveOps 16 / 战略协同 13 / 触达可行性 5","Vietnam publishing; Localization; Regulatory operation","hotro@sohagame.vn","Customer support email only; use as fallback to request BD forwarding.","https://sohagame.vn/en/lien-he/lam-the-nao-de-lien-he-den-sohagame-26170.html","Use only for Vietnam local publishing route if higher-fit targets do not move.","Wave 4: ask support/fanpage to forward to business development.","Medium","SohaGame contact - https://sohagame.vn/en/lien-he/lam-the-nao-de-lien-he-den-sohagame-26170.html","SohaGame guide/contact page - https://sohagame.vn/en/huong-dan-game","SohaGame official site - https://sohagame.vn/en",""
"30","C","56","Toge Productions","Indonesia","Indonesia, global indie","https://www.togeproductions.com/","Indie developer / publisher","Coffee Talk; A Space for the Unbound; When the Past Was Around; Mojiken portfolio","Steam profile says Indonesian indie developer/publisher; third-party profiles list publishing expansion and global indie reach.","High credibility in Indonesian publishing, but mostly premium indie rather than mobile F2P buyer.","投资/收购信号 11 / 产品契合 10 / 发行/UA/LiveOps 12 / 战略协同 13 / 触达可行性 10","Indie publishing; Referral; Small strategic partnership","info@togeproductions.com","Official contact page email; publishing@ appears in event press-kit context, verify before BD use.","https://www.togeproductions.com/contact-us/","Use as Indonesia network/referral and possible publishing advisor if the game has stronger narrative/indie positioning.","Wave 3: ask for buyer/publisher referrals if not a fit.","High","Toge contact - https://www.togeproductions.com/contact-us/","Steam publisher profile - https://store.steampowered.com/publisher/togeproductions/about/","Indie Games Plus publisher profile - https://indiegamesplus.com/publisher-profile-toge-productions/","Gematsu Toge profile - https://www.gematsu.com/companies/toge-productions"
