标题,作者,赞同,原文链接,正文相关度分,严格小学相关度分,正文抓取状态,本地Markdown
月坛是不是西城教改后最差的学区？,三人行,97,https://www.zhihu.com/question/266796913/answer/2321815760,5077,5767,已抓取正文,output/zhihu_xicheng/markdown/233-月坛是不是西城教改后最差的学区？-2321815760.md
为什么不能取消学区房制度？,三人行,0,https://www.zhihu.com/question/30835568/answer/2326269686,5059,5737,已抓取正文,output/zhihu_xicheng/markdown/438-为什么不能取消学区房制度？-2326269686.md
孩子在北京上小学和中学，所谓好学区和好学校真有那么重要吗？,三人行,46,https://www.zhihu.com/question/19569694/answer/2373603980,5043,5733,已抓取正文,output/zhihu_xicheng/markdown/558-孩子在北京上小学和中学，所谓好学区和好学校真有那么重要吗？-2373603980.md
西城陶白和东城区学期和平里、安交片区选择，选哪个更好呢，全部预算550万，孩子计划初中转校过去?,三人行,23,https://www.zhihu.com/question/462737988/answer/2412795504,5005,5685,已抓取正文,output/zhihu_xicheng/markdown/513-西城陶白和东城区学期和平里、安交片区选择，选哪个更好呢，全部预算550万，孩子计划初中转校过去-2412795504.md
目前北京市小学排名前50名的都是那些学校？谢谢？,三人行,331,https://www.zhihu.com/question/493179545/answer/3168506958,4965,5619,已抓取正文,output/zhihu_xicheng/markdown/653-目前北京市小学排名前50名的都是那些学校？谢谢？-3168506958.md
西城德胜片区的半地下室可以入学吗？,三人行,2,https://www.zhihu.com/question/432835279/answer/3369510359,4933,5365,已抓取正文,output/zhihu_xicheng/markdown/214-西城德胜片区的半地下室可以入学吗？-3369510359.md
西城学区小学入学政策是什么？,鸿志万里,2,https://www.zhihu.com/question/474364105/answer/33281084039,4678,5205,已抓取正文,output/zhihu_xicheng/markdown/130-西城学区小学入学政策是什么？-33281084039.md
北京西城的小学和海淀的小学来比较，都是二流一类的话，如何选？,鸿志万里,1,https://www.zhihu.com/question/320434012/answer/3389521870,4417,4980,已抓取正文,output/zhihu_xicheng/markdown/256-北京西城的小学和海淀的小学来比较，都是二流一类的话，如何选？-3389521870.md
北京西城新街口学区和海淀中关村三小红山校区选哪个?,北京中弘安居大数据,0,https://www.zhihu.com/question/531757952/answer/1986122765309339231,4233,4826,已抓取正文,output/zhihu_xicheng/markdown/350-北京西城新街口学区和海淀中关村三小红山校区选哪个-1986122765309339231.md
北京学区 小学差中学好（金融街）与小学好中学有坑（大椿天）选哪个？,鸿志万里,0,https://www.zhihu.com/question/445071146/answer/3557342166,3961,4738,已抓取正文,output/zhihu_xicheng/markdown/894-北京学区-小学差中学好（金融街）与小学好中学有坑（大椿天）选哪个？-3557342166.md
西城学区小学入学政策是什么？,三人行,4,https://www.zhihu.com/question/474364105/answer/2354873966,3869,4263,已抓取正文,output/zhihu_xicheng/markdown/213-西城学区小学入学政策是什么？-2354873966.md
海淀万寿路学区和西城陶白、展览路怎么选？,三人行,22,https://www.zhihu.com/question/476013488/answer/2387202305,3565,3872,已抓取正文,output/zhihu_xicheng/markdown/110-海淀万寿路学区和西城陶白、展览路怎么选？-2387202305.md
到底该不该买西城学区房？,任威康,58,https://www.zhihu.com/question/335238955/answer/1901047960072091358,3057,3752,已抓取正文,output/zhihu_xicheng/markdown/311-到底该不该买西城学区房？-1901047960072091358.md
西师附小展览路怎么样?,三人行,9,https://www.zhihu.com/question/392966607/answer/2387252310,3325,3673,已抓取正文,output/zhihu_xicheng/markdown/534-西师附小展览路怎么样-2387252310.md
西城 731 之后买房，多校划片是随机还是要按照房本时间排？,北京中弘安居大数据,0,https://www.zhihu.com/question/470927900/answer/1971520301830471714,2886,3632,已抓取正文,output/zhihu_xicheng/markdown/316-西城-731-之后买房，多校划片是随机还是要按照房本时间排？-1971520301830471714.md
如何看待买房入学犹如「拆盲盒」，学区房问题该如何得到解决？,三人行,7,https://www.zhihu.com/question/470398825/answer/2422840487,3275,3600,已抓取正文,output/zhihu_xicheng/markdown/535-如何看待买房入学犹如「拆盲盒」，学区房问题该如何得到解决？-2422840487.md
西城月坛应该怎么买？,三人行,9,https://www.zhihu.com/question/520178666/answer/2375270382,3283,3592,已抓取正文,output/zhihu_xicheng/markdown/210-西城月坛应该怎么买？-2375270382.md
西城区部委小学政保需要本区户口吗？海淀早已买房，户口在海淀。?,三人行,23,https://www.zhihu.com/question/628358850/answer/75947356052,3322,3577,已抓取正文,output/zhihu_xicheng/markdown/072-西城区部委小学政保需要本区户口吗？海淀早已买房，户口在海淀。-75947356052.md
北京没有学区的老破小还能买吗?,三人行,3,https://www.zhihu.com/question/471640553/answer/2686406680,3109,3576,已抓取正文,output/zhihu_xicheng/markdown/780-北京没有学区的老破小还能买吗-2686406680.md
西城区幼升小选八中附小还是育才？,三人行,2,https://www.zhihu.com/question/527003343/answer/3361397442,3102,3530,已抓取正文,output/zhihu_xicheng/markdown/003-西城区幼升小选八中附小还是育才？-3361397442.md
25年上学西城德胜学区房还能买吗？,三人行,2,https://www.zhihu.com/question/614690690/answer/3581213807,2995,3474,已抓取正文,output/zhihu_xicheng/markdown/059-25年上学西城德胜学区房还能买吗？-3581213807.md
北京西城德胜学区房还值得购买吗？,三人行,10,https://www.zhihu.com/question/594291824/answer/3593854312,3273,3447,已抓取正文,output/zhihu_xicheng/markdown/088-北京西城德胜学区房还值得购买吗？-3593854312.md
作为北京市西城区即将小升初的学生，如何才能在派位中提高去好学校的概率？,三人行,32,https://www.zhihu.com/question/445339113/answer/3312819048,3197,3434,已抓取正文,output/zhihu_xicheng/markdown/032-作为北京市西城区即将小升初的学生，如何才能在派位中提高去好学校的概率？-3312819048.md
西城小升初“学区派位”环节中，优质校在各学区的录取比例是均衡的还是以它本省的属地学区为主，比例如何？,三人行,1,https://www.zhihu.com/question/544772547/answer/3574602085,2931,3356,已抓取正文,output/zhihu_xicheng/markdown/138-西城小升初“学区派位”环节中，优质校在各学区的录取比例是均衡的还是以它本省的属地学区为主，比例如何？-3574602085.md
请问北京东西城，朝阳有哪些好的小学推荐？,三人行,7,https://www.zhihu.com/question/399400248/answer/3289648526,3064,3251,已抓取正文,output/zhihu_xicheng/markdown/134-请问北京东西城，朝阳有哪些好的小学推荐？-3289648526.md
随着出生人口大幅下降，北京未来的学区政策会如何发展？,三人行,5,https://www.zhihu.com/question/660746903/answer/3630196056,3439,3248,已抓取正文,output/zhihu_xicheng/markdown/803-随着出生人口大幅下降，北京未来的学区政策会如何发展？-3630196056.md
西城学区小学入学政策是什么？,任威康,1,https://www.zhihu.com/question/474364105/answer/1901047788176904649,2708,3151,已抓取正文,output/zhihu_xicheng/markdown/205-西城学区小学入学政策是什么？-1901047788176904649.md
都说西城嗯青年湖小学很差，到底有多差呢？,三人行,8,https://www.zhihu.com/question/379727073/answer/3075096221,2505,3074,已抓取正文,output/zhihu_xicheng/markdown/165-都说西城嗯青年湖小学很差，到底有多差呢？-3075096221.md
想在西城给孩子买学区房，广外学区和陶白学区怎么选？,三人行,6,https://www.zhihu.com/question/7979490374/answer/65036942636,2859,3028,已抓取正文,output/zhihu_xicheng/markdown/013-想在西城给孩子买学区房，广外学区和陶白学区怎么选？-65036942636.md
西城幼升小政策解读？,任威康,0,https://www.zhihu.com/question/276446118/answer/1901046312360706573,2524,2915,已抓取正文,output/zhihu_xicheng/markdown/880-西城幼升小政策解读？-1901046312360706573.md
西城广外有套房，有必要置到其他学区么？,三人行,0,https://www.zhihu.com/question/617219003/answer/65033449606,2727,2882,已抓取正文,output/zhihu_xicheng/markdown/415-西城广外有套房，有必要置到其他学区么？-65033449606.md
在北京西城，花钱就能上心仪的小学吗？,任威康,2,https://www.zhihu.com/question/669009578/answer/1984271145709621586,2380,2801,已抓取正文,output/zhihu_xicheng/markdown/435-在北京西城，花钱就能上心仪的小学吗？-1984271145709621586.md
如何看待：教育部回应北京学区房价格暴涨等问题，就近入学政策没变？,基鑫阁,18,https://www.zhihu.com/question/395862022/answer/1243145316,2194,2757,已抓取正文,output/zhihu_xicheng/markdown/638-如何看待：教育部回应北京学区房价格暴涨等问题，就近入学政策没变？-1243145316.md
非京籍幼升小什么时候开始准备四证材料？,三人行,0,https://www.zhihu.com/question/3215658290/answer/23602603869,2574,2743,已抓取正文,output/zhihu_xicheng/markdown/794-非京籍幼升小什么时候开始准备四证材料？-23602603869.md
2028年幼升小，北京东城区和平里学区和西城区陶白学区怎么选？,三人行,5,https://www.zhihu.com/question/556040068/answer/2850017110,1888,2697,已抓取正文,output/zhihu_xicheng/markdown/178-2028年幼升小，北京东城区和平里学区和西城区陶白学区怎么选？-2850017110.md
北京市部分小升初改为投简历入学，西城海淀老破小还有必要入吗？ 是不是意味着自己补课等的投入更重要了呢？,三人行,0,https://www.zhihu.com/question/640218385/answer/1906632091195672173,2462,2680,已抓取正文,output/zhihu_xicheng/markdown/155-北京市部分小升初改为投简历入学，西城海淀老破小还有必要入吗？-是不是意味着自己补课等的投入更重要了呢？-1906632091195672173.md
北京西城 2023 年中小学名单、学区划片公布，有哪些需要家长们了解的？,鸿志万里,1,https://www.zhihu.com/question/600581199/answer/3456661411,2208,2606,已抓取正文,output/zhihu_xicheng/markdown/243-北京西城-2023-年中小学名单、学区划片公布，有哪些需要家长们了解的？-3456661411.md
北京西城上小学资格问题？,三人行,0,https://www.zhihu.com/question/491421929/answer/81847708844,2426,2604,已抓取正文,output/zhihu_xicheng/markdown/372-北京西城上小学资格问题？-81847708844.md
想买海淀区学区房，请问有没有性价比较高的学区房推荐？,三人行,6,https://www.zhihu.com/question/454224808/answer/3393689674,2662,2583,已抓取正文,output/zhihu_xicheng/markdown/641-想买海淀区学区房，请问有没有性价比较高的学区房推荐？-3393689674.md
东西城学区房(平房)你会考虑入手吗?,三人行,9,https://www.zhihu.com/question/615602224/answer/57076034491,2299,2578,已抓取正文,output/zhihu_xicheng/markdown/221-东西城学区房(平房)你会考虑入手吗-57076034491.md
现在的北京户口还有没有必要去拿？,三人行,217,https://www.zhihu.com/question/316964442/answer/2756267481,2111,2573,已抓取正文,output/zhihu_xicheng/markdown/990-现在的北京户口还有没有必要去拿？-2756267481.md
怎样评价北京学区房多校划片、六年一名额新政？,帝呱呱星球,146,https://www.zhihu.com/question/392758408/answer/1218211931,1985,2553,已抓取正文,output/zhihu_xicheng/markdown/126-怎样评价北京学区房多校划片、六年一名额新政？-1218211931.md
2020年北京刚需买房，海淀和西城怎么选（比如甘家口商圈和长椿街商圈）？,三人行,1,https://www.zhihu.com/question/390743333/answer/3398213629,2501,2543,已抓取正文,output/zhihu_xicheng/markdown/623-2020年北京刚需买房，海淀和西城怎么选（比如甘家口商圈和长椿街商圈）？-3398213629.md
基于教育考虑，西城集体户口买房石景山或者丰台值得吗？,三人行,2,https://www.zhihu.com/question/544947082/answer/70361486349,2155,2520,已抓取正文,output/zhihu_xicheng/markdown/675-基于教育考虑，西城集体户口买房石景山或者丰台值得吗？-70361486349.md
北京西城海淀末流高中和其他的区的中游高中哪个好？,三人行,3,https://www.zhihu.com/question/662639133/answer/118507694245,2149,2520,已抓取正文,output/zhihu_xicheng/markdown/643-北京西城海淀末流高中和其他的区的中游高中哪个好？-118507694245.md
孩子幼升小到底需要做哪些准备？,三人行,0,https://www.zhihu.com/question/663551112/answer/3627916178,2253,2504,已抓取正文,output/zhihu_xicheng/markdown/876-孩子幼升小到底需要做哪些准备？-3627916178.md
北京2000万买房，学区属性，海淀还是西城？,三人行,0,https://www.zhihu.com/question/540647126/answer/46370260901,2346,2488,已抓取正文,output/zhihu_xicheng/markdown/334-北京2000万买房，学区属性，海淀还是西城？-46370260901.md
西城区初中排名前几位的学校有哪些？,京学区字典,5,https://www.zhihu.com/question/473983754/answer/3517727817,2151,2447,已抓取正文,output/zhihu_xicheng/markdown/010-西城区初中排名前几位的学校有哪些？-3517727817.md
小学学区重要吗？,三人行,21,https://www.zhihu.com/question/479232624/answer/2680211109,2175,2309,已抓取正文,output/zhihu_xicheng/markdown/828-小学学区重要吗？-2680211109.md
25年上小学，西城区金融街和月坛选哪个?,三人行,4,https://www.zhihu.com/question/736004651/answer/123845151460,2124,2306,已抓取正文,output/zhihu_xicheng/markdown/004-25年上小学，西城区金融街和月坛选哪个-123845151460.md
介绍一下北京市西城区的学区？,三人行,4,https://www.zhihu.com/question/455372815/answer/2312630623,2086,2296,已抓取正文,output/zhihu_xicheng/markdown/080-介绍一下北京市西城区的学区？-2312630623.md
为什么北京西城的教育更加均衡，而海淀的教育两极分化严重？,三人行,4,https://www.zhihu.com/question/593150798/answer/3025287198,2093,2259,已抓取正文,output/zhihu_xicheng/markdown/923-为什么北京西城的教育更加均衡，而海淀的教育两极分化严重？-3025287198.md
北京学区 小学差中学好（金融街）与小学好中学有坑（大椿天）选哪个？,三人行,0,https://www.zhihu.com/question/445071146/answer/1888517198865217307,1867,2230,已抓取正文,output/zhihu_xicheng/markdown/606-北京学区-小学差中学好（金融街）与小学好中学有坑（大椿天）选哪个？-1888517198865217307.md
你会选择海淀万寿路学区还是西城陶白上学？,三人行,3,https://www.zhihu.com/question/470928048/answer/130858288914,2048,2210,已抓取正文,output/zhihu_xicheng/markdown/028-你会选择海淀万寿路学区还是西城陶白上学？-130858288914.md
海淀的教育差距到底有多大？真的比东，西城好很多吗？,三人行,5,https://www.zhihu.com/question/566793958/answer/2759185093,1671,2147,已抓取正文,output/zhihu_xicheng/markdown/907-海淀的教育差距到底有多大？真的比东，西城好很多吗？-2759185093.md
北京西城高中师大附中和实验以及15中实验班怎么选?,鸿志万里,0,https://www.zhihu.com/question/541823211/answer/3458065347,1762,2116,已抓取正文,output/zhihu_xicheng/markdown/422-北京西城高中师大附中和实验以及15中实验班怎么选-3458065347.md
学区房买北京西城东城，还是朝阳？,老污龟,64,https://www.zhihu.com/question/463574027/answer/2861398708,2097,2106,已抓取正文,output/zhihu_xicheng/markdown/309-学区房买北京西城东城，还是朝阳？-2861398708.md
西城广安门学区划分？,三人行,0,https://www.zhihu.com/question/653420622/answer/1936738244399177978,1907,2098,已抓取正文,output/zhihu_xicheng/markdown/588-西城广安门学区划分？-1936738244399177978.md
现在北京学区房都在弱化的大前提下，学区房买还是不买？,通透教育Totaledu,23,https://www.zhihu.com/question/310742721/answer/2020702981,1630,2003,已抓取正文,output/zhihu_xicheng/markdown/589-现在北京学区房都在弱化的大前提下，学区房买还是不买？-2020702981.md
北京楼市：顶级学区老破小的价格未来还会往上涨吗？,三人行,6,https://www.zhihu.com/question/620539945/answer/51790878074,1853,1946,已抓取正文,output/zhihu_xicheng/markdown/593-北京楼市：顶级学区老破小的价格未来还会往上涨吗？-51790878074.md
现在老宣武比西城的教育质量差多少？,三人行,1,https://www.zhihu.com/question/458861649/answer/3628795170,1618,1902,已抓取正文,output/zhihu_xicheng/markdown/791-现在老宣武比西城的教育质量差多少？-3628795170.md
准备放弃西城的集体户，转到房山找个好学区。？,三人行,0,https://www.zhihu.com/question/275745793/answer/69588803980,1764,1891,已抓取正文,output/zhihu_xicheng/markdown/373-准备放弃西城的集体户，转到房山找个好学区。？-69588803980.md
西城德胜真的不能入手了吗？,三人行,35,https://www.zhihu.com/question/551867317/answer/2660392464,1662,1871,已抓取正文,output/zhihu_xicheng/markdown/174-西城德胜真的不能入手了吗？-2660392464.md
目前北京市小学排名前50名的都是那些学校？谢谢？,京房于哥,45,https://www.zhihu.com/question/493179545/answer/3043685735,1361,1869,已抓取正文,output/zhihu_xicheng/markdown/449-目前北京市小学排名前50名的都是那些学校？谢谢？-3043685735.md
如何评价北京：鼓励在升学中择优录取非遗考生？,三人行,7,https://www.zhihu.com/question/269215020/answer/1911726869436412395,1667,1855,已抓取正文,output/zhihu_xicheng/markdown/342-如何评价北京：鼓励在升学中择优录取非遗考生？-1911726869436412395.md
预算800-900万，北京西城学区房怎么选？,三人行,6,https://www.zhihu.com/question/348515688/answer/24166676585,1438,1847,已抓取正文,output/zhihu_xicheng/markdown/265-预算800-900万，北京西城学区房怎么选？-24166676585.md
西城德胜的中学到底强在哪里？,三人行,21,https://www.zhihu.com/question/520179496/answer/2375277149,1657,1843,已抓取正文,output/zhihu_xicheng/markdown/143-西城德胜的中学到底强在哪里？-2375277149.md
没有北京户口，娃在北京上学有多难？,一个讲道理的泼妇,33,https://www.zhihu.com/question/588401683/answer/3018023775,1406,1835,已抓取正文,output/zhihu_xicheng/markdown/827-没有北京户口，娃在北京上学有多难？-3018023775.md
居住舒适和学区房选哪个？,三人行,14,https://www.zhihu.com/question/435048826/answer/2659595009,1585,1813,已抓取正文,output/zhihu_xicheng/markdown/714-居住舒适和学区房选哪个？-2659595009.md
北京西城户口那么重要吗？,三人行,8,https://www.zhihu.com/question/450770252/answer/3009994111,1518,1786,已抓取正文,output/zhihu_xicheng/markdown/381-北京西城户口那么重要吗？-3009994111.md
北京西城区除了四中和实验都很拉吗？,三人行,1,https://www.zhihu.com/question/570185663/answer/17416348556,1672,1782,已抓取正文,output/zhihu_xicheng/markdown/054-北京西城区除了四中和实验都很拉吗？-17416348556.md
西城区小升初是什么体验？,上善若水,363,https://www.zhihu.com/question/459428140/answer/1886539122,1692,1768,已抓取正文,output/zhihu_xicheng/markdown/071-西城区小升初是什么体验？-1886539122.md
西城教委的同志们，明年非京幼升小可能会增加哪方面的限制？,研究性学习,2,https://www.zhihu.com/question/35421281/answer/2483794084,1532,1754,已抓取正文,output/zhihu_xicheng/markdown/473-西城教委的同志们，明年非京幼升小可能会增加哪方面的限制？-2483794084.md
在北京，幼儿园有学区概念么，如果有，朝阳这边公立幼儿园哪个好？,三人行,0,https://www.zhihu.com/question/344877687/answer/1934899651154273856,1636,1751,已抓取正文,output/zhihu_xicheng/markdown/605-在北京，幼儿园有学区概念么，如果有，朝阳这边公立幼儿园哪个好？-1934899651154273856.md
西城幼升小政策解读？,三人行,1,https://www.zhihu.com/question/276446118/answer/1896885072642167404,1680,1744,已抓取正文,output/zhihu_xicheng/markdown/364-西城幼升小政策解读？-1896885072642167404.md
孩子在北京西城公共户口上学好还是在朝阳或通州一般学区上学好?,老污龟,140,https://www.zhihu.com/question/534014049/answer/2876627596,1788,1721,已抓取正文,output/zhihu_xicheng/markdown/232-孩子在北京西城公共户口上学好还是在朝阳或通州一般学区上学好-2876627596.md
西城广安门外学区和海淀羊坊店学区如何选择？,三人行,7,https://www.zhihu.com/question/554462801/answer/2929148459,1608,1716,已抓取正文,output/zhihu_xicheng/markdown/099-西城广安门外学区和海淀羊坊店学区如何选择？-2929148459.md
准备在北京买房，想要一步到位考虑海淀西城朝阳，考虑学区，有什么建议？,三人行,19,https://www.zhihu.com/question/350008075/answer/2762827371,1420,1697,已抓取正文,output/zhihu_xicheng/markdown/163-准备在北京买房，想要一步到位考虑海淀西城朝阳，考虑学区，有什么建议？-2762827371.md
预算1500万买西城，不追求顶级学区买哪更合适？,三人行,1,https://www.zhihu.com/question/567239647/answer/2762847583,1416,1683,已抓取正文,output/zhihu_xicheng/markdown/203-预算1500万买西城，不追求顶级学区买哪更合适？-2762847583.md
731之后，西城陶白片区和大椿天片区哪个小区上学，居住和保值的综合性价比高？,三人行,2,https://www.zhihu.com/question/410783335/answer/3506539849,1546,1672,已抓取正文,output/zhihu_xicheng/markdown/016-731之后，西城陶白片区和大椿天片区哪个小区上学，居住和保值的综合性价比高？-3506539849.md
孩子户口在大椿天学区实验一小，要不要转金融街学区华嘉小学？,京学区字典,3,https://www.zhihu.com/question/474274085/answer/3490657775,1447,1654,已抓取正文,output/zhihu_xicheng/markdown/471-孩子户口在大椿天学区实验一小，要不要转金融街学区华嘉小学？-3490657775.md
东城交道口府学学区和西城陶白学区，二选一，让孩子落户哪里？,三人行,0,https://www.zhihu.com/question/452275167/answer/3211305054,1228,1651,已抓取正文,output/zhihu_xicheng/markdown/748-东城交道口府学学区和西城陶白学区，二选一，让孩子落户哪里？-3211305054.md
如何看待北京西城区提「三不」要求，严禁中介炒作学区房？,奶包的大叔,318,https://www.zhihu.com/question/470440971/answer/1986365055,1364,1646,已抓取正文,output/zhihu_xicheng/markdown/048-如何看待北京西城区提「三不」要求，严禁中介炒作学区房？-1986365055.md
如何看待北京西城区实行多校区划片入学？,Frank.Liang,15,https://www.zhihu.com/question/392889765/answer/1214389917,1335,1645,已抓取正文,output/zhihu_xicheng/markdown/042-如何看待北京西城区实行多校区划片入学？-1214389917.md
北京东城、西城、海淀、去哪所小学比较好？,三人行,10,https://www.zhihu.com/question/648926968/answer/3593715209,1516,1629,已抓取正文,output/zhihu_xicheng/markdown/560-北京东城、西城、海淀、去哪所小学比较好？-3593715209.md
在北京西城，花钱就能上心仪的小学吗？,三人行,3,https://www.zhihu.com/question/669009578/answer/3644470526,1397,1629,已抓取正文,output/zhihu_xicheng/markdown/224-在北京西城，花钱就能上心仪的小学吗？-3644470526.md
北京西城区学区房房价理智吗?,老污龟,505,https://www.zhihu.com/question/441058285/answer/2254827901,1655,1617,已抓取正文,output/zhihu_xicheng/markdown/274-北京西城区学区房房价理智吗-2254827901.md
西城学区新街口片区能买吗？小学中学有没有坑？,三人行,27,https://www.zhihu.com/question/569739625/answer/2781315871,1324,1568,已抓取正文,output/zhihu_xicheng/markdown/076-西城学区新街口片区能买吗？小学中学有没有坑？-2781315871.md
想在北京给孩子买一套学区房，西城有哪些板块不能买吗？,三人行,0,https://www.zhihu.com/question/6004315219/answer/48110249256,1375,1549,已抓取正文,output/zhihu_xicheng/markdown/118-想在北京给孩子买一套学区房，西城有哪些板块不能买吗？-48110249256.md
西城学区还有未来吗？应该怎么选？,云上观房,19,https://www.zhihu.com/question/547102253/answer/26042376596,1354,1549,已抓取正文,output/zhihu_xicheng/markdown/378-西城学区还有未来吗？应该怎么选？-26042376596.md
北京房价2025年大涨，是学区房拉动的吗？,三人行,0,https://www.zhihu.com/question/1889087754350088732/answer/1893596245634822382,1304,1544,已抓取正文,output/zhihu_xicheng/markdown/792-北京房价2025年大涨，是学区房拉动的吗？-1893596245634822382.md
取消学区房改为按户口分配学校的话会怎么样？,每日人物,544,https://www.zhihu.com/question/378493399/answer/1208591810,1219,1534,已抓取正文,output/zhihu_xicheng/markdown/425-取消学区房改为按户口分配学校的话会怎么样？-1208591810.md
2024西城幼升小各学校的招生简章有吗？,北京叮当,5,https://www.zhihu.com/question/657426379/answer/3512486101,1329,1530,已抓取正文,output/zhihu_xicheng/markdown/148-2024西城幼升小各学校的招生简章有吗？-3512486101.md
西城学区房怎么买？,西瓜姐教买房,12,https://www.zhihu.com/question/433336448/answer/3073118536,1231,1511,已抓取正文,output/zhihu_xicheng/markdown/237-西城学区房怎么买？-3073118536.md
西城 45 个老旧小区明年启动改造，这会带来哪些改变？,三人行,0,https://www.zhihu.com/question/569954368/answer/1937059035540091413,1315,1508,已抓取正文,output/zhihu_xicheng/markdown/751-西城-45-个老旧小区明年启动改造，这会带来哪些改变？-1937059035540091413.md
