Rank,Tier,Score,Company,Country,Region,Website,Type,Representative works,Scale,Signal,Deals,Entry,Contact URL,Email,Email note,Angle,Next step,Confidence,Score breakdown,Sources
11,A,79,Jawaker / Stillfront Group,United Arab Emirates / Sweden,UAE / Gulf,https://www.jawakergames.com/,Stillfront 旗下 MENA social/card/board gaming platform,Jawaker,Stillfront 2021 年以 2.05 亿美元 upfront 收购 Jawaker；MENA 经典 PvP 桌牌/卡牌平台。,MENA 玩家、支付渠道、社交长线运营能力强；买方路径多半走 Stillfront group M&A。,Stillfront 路线收购/投资；MENA 发行/社交运营；区域合作,Jawaker leadership；Stillfront group M&A / IR,https://www.jawakergames.com/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级 BD 邮箱；建议 Jawaker LinkedIn + Stillfront IR/集团路线。,若项目有社交、家族、公会、活动循环，强调 Jawaker MENA social graph 与 Stillfront global UA。,A2。先问 Stillfront/Jawaker 是否评估 mobile casual/simulation assets。,High,20 / 21 / 17 / 14 / 7,https://www.jawakergames.com/ | https://www.stillfront.com/en/stillfront-group-acquires-jawaker-and-continues-expansion-in-the-mena-region-and-intends-to-raise-new-financing/ | https://www.pocketgamer.biz/the-top-30-mena-game-makers-of-2025/
12,A,79,Lobah / Lobah Play,Saudi Arabia,Saudi / GCC,https://lobah.com/,Saudi game company and social game publishing/platform route,"Samla, Jackaroo Strike, Kingdom of Letter, Habhab, Lobah Play, Kix",官方称 2024 年成立；PocketGamer 报道其获得 1200 万美元资金支持。,Saudi local/global ambition 明确；Lobah Play 有社交游戏平台/发行接入价值。,Saudi/MENA 平台发行；投资/共研；社交增长合作,Lobah Play developer/business team；company leadership,https://www.lobah.com/contact,未公开公司级邮箱（仅官方表单/公司页）,官网提供联系表单；未找到可读公司级邮箱。,若项目愿意做 Saudi/MENA platform integration，可把 Lobah Play 作为本地增长/发行试验线。,A2/B1。先问平台发行/合作，不要一开始只谈收购。,Medium,18 / 22 / 17 / 14 / 8,https://lobah.com/ | https://www.lobah.com/contact | https://www.pocketgamer.biz/lobah-on-raising-12m-and-the-opportunity-for-culturalised-games-in-mena/
13,A,79,Playhera,Saudi Arabia,Saudi / GCC,https://playhera.com/,"MENA publishing, creator-led live events and esports/gaming platform","PLAYHERA MENA platform, publisher services, Playhera Academy",官方称 Premier Publisher for MENA，提供本地化、创作者、支付、资金支持和区域扩张。,MENA 发行和创作者增长强相关；资金/投资口径弱于 Sandsoft/Savvy。,MENA 发行；创作者/赛事营销；本地支付；资金支持,Publish with Playhera；publisher team,https://playhera.com/,未公开公司级邮箱（仅官方表单/公司页）,官方页面摘要显示可直接 reach out，但邮箱在检索结果中被脱敏；优先 Submit a Game。,强调 MENA 玩家付费、本地化和 creator-led LiveOps，询问是否能做区域验证或 funding-supported launch。,A2。提交游戏前先发简短 deck，说明美国数据和 MENA 假设。,Medium,15 / 24 / 18 / 14 / 8,https://playhera.com/ | https://business.playhera.com/our-services/ | https://www.zawya.com/en/press-release/playhera-mena-unveiled-in-a-multi-million-dollar-deal-with-zain-tzi92axp
14,A,78,Babil Games / Stillfront Group,UAE / Jordan / Sweden,Jordan / Levant,https://babilgames.com/,Stillfront 旗下 MENA mobile strategy publisher,"Nida Harb 3, The Grand Frontier, Strike of Nations",Stillfront 收购 Babil；官网强调 MENA 市场发行、本地化、UA 和合作伙伴网络。,MENA 发行、本地化和长线 SLG 运营能力强；休闲模拟需解释用户和经济系统相邻性。,MENA 发行；Stillfront 路线资产/团队交易；本地化/LiveOps,Babil services/publishing；Stillfront M&A/IR,https://babilgames.com/,未公开公司级邮箱（仅官方表单/公司页）,官网以 contact form 为主；未找到公开公司级 BD 邮箱。,从 MENA market impact 和 long-term live game operation 切入，询问是否看休闲冒险/经营品类扩张。,A2/B1。适合作为 Stillfront MENA 路线，与 Jawaker 并行。,High,18 / 22 / 18 / 13 / 7,https://babilgames.com/ | https://www.stillfront.com/en/stillfront-group-ab-stillfront-completes-the-acquisition-of-babil-games-2/ | https://www.stillfront.com/en/stillfront-group-ab-stillfront-forvarvar-babil-games-den-ledande-mobilspelsforlaggaren-i-mena-regionen/
15,A,78,Rollic / Zynga / Take-Two,Turkey / US,Turkey,https://www.rollicgames.com/,Zynga/Take-Two 旗下 hyper/hybrid casual publisher,"Blob Runner 3D, High Heels!, Tangle Master, hyper/hybrid casual portfolio",Zynga 旗下土耳其 mobile publisher；公开 publish-with-us 入口清晰。,发行适配高；独立收购/投资需要走 Zynga/Take-Two corporate route。,发行/测试；Zynga route 资产/团队讨论；UA 放大,Publish with Rollic；Zynga corporate / publishing route,https://www.rollicgames.com/publish-with-us,support@rollicgames.com,公开支持邮箱仅 fallback；发行/合作优先 publish-with-us 表单。,用美国 CPI/留存直接判断是否可进入二次测试/发行 pipeline。,A2/B1。发行版模板优先，投资/收购只放在末尾。,High,16 / 22 / 20 / 12 / 8,https://www.rollicgames.com/ | https://www.rollicgames.com/publish-with-us | https://www.zynga.com/
16,B,75,FunVent Studios,United Arab Emirates,UAE / Gulf,https://funvent.cc/,Dubai-based casual puzzle mobile developer/publisher,"Tiledom, 2 Tiles, Tile Park, Zoo Puzzle, Connect Animal",官网称 400M+ players、27M+ MAU、5M+ DAU；PocketGamer 2025 MENA Top 30 收录。,移动休闲、puzzle、UA 和全球发行相关；收购能力未知，但可作为区域/全球休闲买方补充。,发行/合作；少数投资；共研；产品/UA 交流,Business development；founder/leadership,https://funvent.cc/,hello@funvent.cc,官网公开 hello@funvent.cc。,强调休闲女性/家庭用户、低 CPI 和长线内容潜力，请对方判断是否有 portfolio gap。,B1。邮件要短，先问是否评估 external casual simulation titles。,High,12 / 23 / 18 / 13 / 9,https://funvent.cc/ | https://www.pocketgamer.biz/the-top-30-mena-game-makers-of-2025/ | https://www.linkedin.com/company/funvent-studios/
17,B,74,SuperPlay / Playtika,Israel,Israel,https://www.superplay.co/,Playtika acquired mobile casual studio,"Dice Dreams, Domino Dreams",Playtika 2024 年宣布以 7 亿美元 upfront + 最高 12.5 亿美元 earnout 收购 SuperPlay。,coin-looter/board/social casual 与休闲冒险用户相邻；更适合作为 Playtika 路线业务线补充。,Playtika 路线资产/团队讨论；共研；产品经验交流,Playtika corporate；SuperPlay leadership via warm intro,https://www.playtika.com/,ir@playtika.com,建议通过 Playtika IR 请求转 corp dev/BD，不单独冷发 SuperPlay。,把项目与 Dice Dreams/Domino Dreams 的社交休闲、活动、内容消耗节奏做对照。,B1。若 Playtika 主线回应，再要求转 SuperPlay/产品评审。,High,16 / 21 / 18 / 13 / 6,https://investors.playtika.com/news-releases/news-release-details/playtika-enters-agreement-acquire-superplay-creator-hit-mobile/ | https://www.playtika.com/ | https://www.superplay.co/
18,B,73,YallaPlay,United Arab Emirates,UAE / Gulf,https://www.yallaplay.com/mobile,mobile card/PvP studio；AI-backed live operations,"Spades Masters, Tarneeb Masters, Gin Rummy Masters, Zombie World",官方称 Spades Masters 由 Miniclip 发行并有数百万下载；页面显示 310k+ games/day。,实时 PvP、社交、长期生命周期能力相关；适合合作/技术/区域发行或小规模投资讨论。,共研；区域发行/运营；少数投资；技术/后端合作,Leadership / business development,https://www.yallaplay.com/mobile,未公开公司级邮箱（仅官方表单/公司页）,官网显示 reach us 邮箱但当前检索结果脱敏；优先官网/LinkedIn。,如果项目社交系统较强，可强调 AI/real-time/PvP/liveops 能力与长线 retention 的协同。,B1。先谈合作和区域运营，收购放弱。,Medium,15 / 20 / 18 / 13 / 7,https://www.yallaplay.com/mobile | https://www.isakaba.com/yallaplay/ | https://www.pocketgamer.biz/the-top-30-mena-game-makers-of-2025/
19,B,72,Gram Games / Zynga,Turkey / US,Turkey,https://www.gram.gs/,Zynga/Take-Two 旗下 mobile casual/merge studio,"Merge Dragons!, 1010!, Merge Magic!",Zynga/Take-Two 旗下；Merge Dragons! 等休闲/merge 产品线。,与 Family Island-like 的 merge、建造、休闲用户相邻；独立买方能力有限。,Zynga 路线资产/团队讨论；共研；发行/运营合作,Gram leadership；Zynga corporate / publishing,https://www.gram.gs/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级邮箱；建议走 Zynga/Take-Two 或 LinkedIn。,从 merge/建造系统和长线内容生产能力切入。,B1。作为 Zynga 土耳其 studio map 的一部分触达。,High,14 / 22 / 18 / 12 / 6,https://www.gram.gs/ | https://www.zynga.com/ | https://www.linkedin.com/company/gram-games/
20,B,72,ONEMT Middle East,United Arab Emirates / China,UAE / Gulf,https://www.onemt.com/,Dubai-headquartered global mobile game developer/distributor,"Revenge of Sultans, Rise of the Kings, War Eternal, Days of Empire","LinkedIn 口径 501-1,000 人；官方称 18 language versions，多款产品位列多国榜单。",MENA/Arabic SLG 发行经验强；Family Island-like 需从建造/经营/中长期 progression 角度解释。,MENA/全球发行；共研；轻量投资；本地化运营,Business cooperation；Dubai office；publishing/distribution,https://pte.onemt.com/contact,business@onemt.com,ONEMT contact 页面公开 business@onemt.com。,如果要找熟悉 Arab market 的 SLG/策略发行团队，ONEMT 可作为区域运营经验参照。,B1。突出产品经济系统与区域本地化，而非单纯 cozy/farming。,High,12 / 21 / 18 / 13 / 8,https://www.onemt.com/ | https://pte.onemt.com/contact | https://www.linkedin.com/company/onemt
21,B,70,Ace Games,Turkey,Turkey,https://ace.games/,成长型 mobile casual studio,"Fiona's Farm, casual puzzle/adventure portfolio",土耳其 casual mobile studio；产品与轻冒险/农场/建造品类相邻。,品类相邻度高，但独立买方能力不如 Playtika/Moon/Dream。,战略合作；轻量投资；团队/资产讨论；产品/UA 交流,Leadership；product / strategy,https://ace.games/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级邮箱；使用官网/LinkedIn。,强调 Fiona's Farm 相邻品类经验，问是否关注已验证 US metrics 的 external simulation-adventure team。,B1。推荐 LinkedIn 定向创始人/产品负责人。,Medium,12 / 22 / 17 / 13 / 6,https://ace.games/ | https://ace.games/ | https://www.linkedin.com/company/ace-games/
22,B,69,Boss Bunny Games / Waysun,United Arab Emirates / US,UAE / Gulf,https://bossbunny.com/,mobile games developer/publisher；Waysun MENAT publishing arm,"Freej partnership signal, casual/hypercasual mobile publishing",twofour54 公告称 Waysun 收购 Boss Bunny 多数股权，使其成为 MENAT publishing arm。,明确有区域发行和外资控股背景；当前活跃度需验证。,MENAT 发行；投资/加速器；共研；本地 IP 合作,Boss Bunny leadership；Waysun route；AD Gaming/twofour54 network,https://bossbunny.com/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级邮箱；建议通过官网/LinkedIn/twofour54。,强调其曾被定位为 MENAT publishing arm，询问是否仍看外部 mobile casual 项目。,B1/B2。先确认当前是否活跃评估新项目。,Medium,15 / 19 / 16 / 13 / 6,https://www.twofour54.com/en/news-and-updates/press-releases/waysun-buys-majority-stake-in-abu-dhabi-start-up-boss-bunny/ | https://www.pocketgamer.biz/industry/boss-bunny-games/ | https://www.cbinsights.com/company/boss-bunny
23,B,69,Fahy Studios,Saudi Arabia,Saudi / GCC,https://www.fahy.gg/,Saudi hybrid-casual studio；向 publishing 发展,"Smash & Dash, Town Hero, Heist Party, RAWR signal",官网显示 Kwalee publishing partnership、Impact46/Merak strategic investment；新闻称 175 万美元融资。,资金/买方能力有限，但 Saudi hybrid-casual 网络价值高，适合作为合作、引荐和本地资金线索。,共研；区域合作；投资人转介；轻量发行,Founder/leadership；Impact46/Merak route,https://www.fahy.gg/,info@fahy.gg,官网源码公开 info@fahy.gg；另有个人邮箱，不纳入主入口。,从 Saudi hybrid-casual ecosystem 和共同投资人网络切入，询问是否可互相转介或共研。,B1。适合作为区域 networking，不作为首批收购对象。,High,14 / 19 / 15 / 13 / 8,https://www.fahy.gg/ | https://www.zawya.com/en/press-release/companies-news/fahy-secures-strategic-investment-of-175mln-from-impact46-and-merak-capital-hp5wv6xr | https://impact46.sa/portfolio/fahy-studio/
24,B,69,Good Job Games,Turkey,Turkey,https://goodjobgames.com/,mobile casual studio,"Color Bump 3D, Fun Race 3D, hyper/casual portfolio",土耳其移动休闲公司，有全球下载和快速迭代经验。,移动 casual 相关，收购/投资能力需验证；适合作为产品反馈和轻量合作线。,战略合作；轻量投资；共研；发行测试,Leadership；business / publishing,https://goodjobgames.com/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级邮箱；使用官方联系入口。,用低 CPI/留存和 creative learning 说服其做快速产品评估。,B1/B2。短邮件，不要把收购放在第一句。,Medium,12 / 21 / 18 / 12 / 6,https://goodjobgames.com/ | https://goodjobgames.com/games | https://www.linkedin.com/company/good-job-games/
25,B,69,Maysalward,Jordan,Jordan / Levant,https://www.maysalward.com/,MENA pioneer mobile game developer/publisher,"Dominoes Pro, Bounty Hunter, Puffout, Sheikh El Koba",2003 年成立；CrossBoundary 口径称 100+ original IPs、3.5M active user base。,区域洞察和本地化/发行经验强；资本能力有限，更适合作为合作/转介/区域运营顾问线。,区域发行/运营；共研；轻量投资/转介；本地化合作,Business development；founder office,https://www.maysalward.com/contact/,info@maysalward.com,官网源码公开 info@maysalward.com；不使用个人邮箱作为主入口。,请其判断 MENA localization、content fit 和是否能引荐更有资金能力的区域买方。,B2。作为生态转介绍目标很有价值。,High,12 / 20 / 16 / 13 / 8,https://www.maysalward.com/ | https://crossboundary.com/work/fundraising-mena-mobile-game-studio/ | https://www.isakaba.com/maysalward/
26,B,69,Steer Studios,Saudi Arabia,Saudi / GCC,https://www.steerstudios.com/,Savvy Games Group 旗下 Riyadh game studio,"Grunt Rush, Tom and Jerry Blast signal",Savvy 官网称 Steer 为 Riyadh game development studio；IsaKaba 口径 80+ 人。,更像研发实体，不一定是外部发行/收购入口；可作为 Savvy 本地 studio 吸收/共研线索。,共研；团队吸收；Savvy 路线资产讨论,Steer leadership；Savvy corporate route,https://www.steerstudios.com/,customersupport@steerstudios.com,仅公开游戏客服邮箱，不建议作为 BD 主入口；优先 Savvy/Steer LinkedIn 暖介绍。,把团队和产品产能作为 Savvy 本地研发生态可吸收的 external project/team。,B1。若 Savvy 主线无响应，再用 Steer 作为侧门验证。,Medium,14 / 18 / 17 / 14 / 6,https://www.steerstudios.com/ | https://www.savvygames.com/ | https://www.isakaba.com/steer-studios/
27,B,68,Candivore,Israel,Israel,https://www.candivore.io/,mobile casual/social game studio,Match Masters,成长型 mobile casual studio；Match Masters 为高竞争社交 match-3 产品。,休闲/社交/竞技投放能力相关；买方能力不如 Playtika，但可作为战略合作或收购兴趣验证。,战略合作；少数投资；团队/资产讨论；产品交流,Leadership；business development,https://www.candivore.io/,contact@candivore.io,官网/terms 页面公开 contact@candivore.io。,强调休闲用户、社交竞争和活动经济，而非 farming 表层题材。,B1/B2。先用短邮件问是否评估 adjacent casual titles。,High,11 / 21 / 17 / 12 / 7,https://www.candivore.io/ | https://www.matchmasters.io/ | https://www.linkedin.com/company/candivore/
28,B,68,Naphora Games Group,Saudi Arabia,Saudi / GCC,https://www.naphora.com/,Saudi mobile games studio / game label / academy signal,"Shotball, Afrsho, NA4A",PocketGamer 2025 MENA Top 30 口径约 70 人，并称其以 game label 模式提供资金、设备和战略支持。,Saudi ecosystem 和 game label 相关，买方能力未充分公开；适合 networking/转介/轻量合作。,Saudi game label；轻量投资；共研；本地服务/发行,Leadership / game label；founders,https://www.naphora.com/,未公开公司级邮箱（仅官方表单/公司页）,官网有个人/招聘邮箱；不作为公司级 BD 主入口。,可把项目作为外部 mature mobile title，请其判断是否适合 Saudi label/support network。,B2。优先用于生态引荐。,Medium,16 / 18 / 14 / 14 / 6,https://www.naphora.com/ | https://www.pocketgamer.biz/the-top-30-mena-game-makers-of-2025/ | https://www.grouvee.com/games/company/51478-naphora-games-group/
29,B,68,Plarium / MTG,Israel / Sweden,Israel,https://plarium.com/,MTG 旗下 mobile/online game company,"RAID: Shadow Legends, Vikings: War of Clans",MTG 2024 年公告收购 Plarium；Plarium 为大型 F2P midcore/online studio。,F2P 运营和全球投放能力强，但品类偏 midcore；交易路线建议先走 MTG group。,MTG 路线投资/收购；运营/UA 合作；共研,MTG corporate；Plarium business contacts,https://company.plarium.com/en/contacts/,kyiv@plarium.com,Plarium contact 页面列为 Kyiv studio business inquiries；集团交易仍优先 MTG route。,如果项目经济系统/长期任务链强，可说明其与 F2P live operations 的相似性。,B2。不要首轮只找 Plarium，先找 MTG 更合理。,High,15 / 15 / 19 / 12 / 7,https://company.plarium.com/en/contacts/ | https://www.mtg.com/plarium-acquisition-2024/ | https://www.mtg.com/gaming/
30,B,68,Spyke Games,Turkey,Turkey,https://spyke.games/,mobile casual studio,"Tile Busters, Blitz Busters",成长型土耳其 mobile casual studio；融资和产品能力较强。,品类/投放相关，可能更适合战略合作或融资交流。,战略合作；少数投资；产品/UA 交流；团队/资产讨论,Founder/leadership；product leadership,https://spyke.games/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级邮箱；使用官网/LinkedIn。,用 US-tested casual metrics 切入，请对方判断品类相邻和团队协同。,B1/B2。需要暖介绍提高回复率。,Medium,13 / 20 / 17 / 12 / 6,https://spyke.games/ | https://spyke.games/games/ | https://www.linkedin.com/company/spyke-games/
