公司名,公司邮箱,邮件的name字段,公司体量,代表作品,为什么值得找
Skybound Games,swynne@skybound.com; webstore@skybound.com,Skybound Games Publishing Team,Skybound Entertainment 游戏发行部门；IP/creator-led publisher，母公司覆盖 comics/TV/games。,"The Walking Dead: The Telltale Definitive Series, WrestleQuest, Before Your Eyes, Invincible Presents: Atom Eve, Glitch Busters","Skybound 具备 IP 和游戏发行能力，但重心不在移动 F2P 发行。
若项目能往 IP/cozy adventure 方向包装，可试探；否则不是优先买方。
可谈方向：发行；IP合作；联合开发
建议：第三波后段。更适合平台发行或 IP 合作口径。"
DoubleDown Interactive,IR@doubledown.com; DDI@jcir.com; support@doubledowncasino.com,DoubleDown Interactive Corporate Development Team,纳斯达克上市/韩国控股 social casino 公司；公开 IR 资料为上市公司级别。,"DoubleDown Casino, DoubleDown Fort Knox, DoubleDown Classic Slots, Ellen's Road to Riches","社交 casino 发行/运营公司，公开上市，资金能力有但品类偏差较大。
只适合作为低优先级拓展；项目需强调休闲用户和美国指标，而不是玩法相似。
可谈方向：收购；战略合作；投资可能性低
建议：第三波后段。若没有社交 casino 关系，暂缓。"
Maximum Entertainment / Modus Games,ir@maximument.com,Maximum Entertainment / Modus Games Publishing Team,上市多平台发行/开发集团；Maximum/Modus/Merge/Just For Games 整合后运营。,"Squirrel with a Gun, Diesel Legacy, Trine 5, Afterimage, Smalland, Them's Fightin' Herds, Double Dragon Gaiden","多平台发行商，偏 PC/console 和 indie/AA，不是移动 F2P 发行核心。
若项目有多平台化或 premium 版本路径，可进入讨论；纯移动买量合作适配一般。
可谈方向：发行；联合开发；平台发行
建议：低优先级。除非产品策略准备做多平台。"
Hi-Rez Studios,info@hirezstudios.com; bizdev@hirezstudios.com; pr@hirezstudios.com; legal@hirezstudios.com,Hi-Rez Studios Business Development Team,公开资料显示 450+ employees；F2P games-as-a-service 工作室。,"SMITE, Paladins, Rogue Company, Realm Royale, Tribes: Ascend, Divine Knockout","美国 F2P 在线游戏公司，强项在多人竞技和 live service，不是休闲模拟。
数据优秀也可试探，但品类差异明显。
可谈方向：联合开发；发行可能性低；团队合作
建议：仅作备选名单，不进入第一轮。"
1Up Ventures,未找到公开邮箱；使用 1Up Fund 官网 Contact Us / studio submission form,1Up Ventures Investment Team,游戏专项早期基金；官网说明标准化投资额/比例，不做 lead investor。,投资/组合：独立游戏与内容型 studio；具体 portfolio 需在官网逐项核验。,"专注游戏的早期投资基金，规模小于 Griffin/BITKRAFT，但对游戏团队更垂直。
适合早期融资或买方转介，尤其在资金缺口较小且数据可验证时。
可谈方向：早期投资；桥接融资；战略转介
建议：投资线补充对象。适合短邮件和 1-page teaser。"
Electronic Arts Mobile,ir@ea.com; auerkwitz@ea.com; jhiggs@ea.com,Electronic Arts Mobile Corporate Development Team,EA 为全球大型上市游戏公司；Q2 FY26 公告提及 $55B 私有化交易企业价值；移动部门是集团业务线之一。,"EA SPORTS FC Mobile, Madden NFL Mobile, The Sims Mobile, Plants vs. Zombies, Star Wars: Galaxy of Heroes, Golf Clash","北美游戏巨头的移动业务，地位远高于本次对标层级；可作为 stretch target，而不是核心对标。
除非数据非常好或团队有强引荐，否则冷启动机会低。
可谈方向：收购；战略合作；发行可能性低
建议：低优先级 stretch。先做 warm intro，不建议冷邮件首批发送。"
Annapurna Interactive,contact@annapurnainteractive.com; help@annapurnainteractive.com; annapurna@tarabrunopr.com,Annapurna Interactive Publishing Team,Annapurna Pictures 旗下精品发行 label，2016 年成立；发行 portfolio 覆盖多平台 premium hits。,"Stray, Outer Wilds, Neon White, What Remains of Edith Finch, Journey, Cocoon, Donut County, Kentucky Route Zero","美国精品独立发行商，品牌强但不做典型移动 F2P 买量发行。
如果项目能改造成 premium/cozy narrative 体验才有一定适配；当前 Family Island 类 F2P 适配低。
可谈方向：平台发行；精品发行；IP/内容合作
建议：仅作低优先级拓展。除非产品策略变化，不建议进入第一二波。"
Devolver Digital,fork@devolverdigital.com; support@devolverdigital.com,Devolver Digital Publishing Team,上市独立游戏发行商；Steam publisher follower 40 万+；premium indie publishing 强品牌。,"Cult of the Lamb, Enter the Gungeon, Hotline Miami, Inscryption, Loop Hero, The Talos Principle, Reigns","知名独立发行商，更多面向 PC/console premium/indie；不适合当北美移动发行对标。
除非项目完全转成 premium indie/cozy，不建议优先。
可谈方向：平台发行；发行合作
建议：观察名单。当前不建议进入现金流救急外联首批。"
tinyBuild,investorrelations@tinybuild.com,tinyBuild Publishing Team,AIM 上市/多平台发行开发集团；2024 年重组后仍运营多个内部 studio 和外部发行合作。,"Hello Neighbor, Graveyard Keeper, Potion Craft, SpeedRunners, Tinykin, Kill It With Fire, Streets of Rogue","有美国根基的多平台发行/开发集团，行业地位像中型游戏发行公司，但移动 F2P 不是核心。
如果未来做 PC/console cozy sim，可试；当前移动 Family Island 类适配低。
可谈方向：发行；IP合作；项目收购可能性低
建议：观察名单。只在产品策略多平台化后触达。"
Netflix Games,未公开游戏 BD 邮箱；press 使用 Netflix Media Center contact form；Next Games 可用 info@nextgames.com,Netflix Games Team,Netflix Games 官网披露 120+ mobile games；Netflix 为全球订阅娱乐平台，游戏是平台内容业务线。,"Cozy Grove: Camp Spirit, Oxenfree, Oxenfree II, Spiritfarer, Into the Breach, Storyteller, GTA Trilogy mobile","不是传统发行商，但作为平台型内容买方和游戏投资/收购方，可能对 mobile/casual content 有选择性兴趣。
若项目能服务 Netflix 订阅生态、家庭/cozy 用户或 IP 合作，可作为特殊渠道尝试。
可谈方向：内容授权；收购；发行/平台合作
建议：非首批。除非有强引荐或项目可绑定订阅平台逻辑。"
