rank,tier,company,country,hq,website,company_scale,representative_works,contact_email,email_note,archetype,industry_position,family_island_fit,deal_types,best_entry,contact,score,next_step,source_1,source_2,source_3,source_4
11,B,Big Fish Games / BFG Entertainment,US,"Seattle, WA",https://www.bigfishgames.com/,老牌休闲游戏公司；公开资料显示约 350 人级；历史累计 1B+ game downloads。,"EverMerge, Gummy Drop!, Fairway Solitaire, Mystery Case Files, Midnight Castle, Cooking Craze",premiumsubmissions@bigfishgames.com; support via Zendesk form,公开资料可见 submissions 邮箱；官网支持主要走 Zendesk 表单，当前商务状态需先确认。,休闲游戏发行/分发老牌公司,曾是北美休闲游戏发行和分发的重要公司；当前战略状态需谨慎核验，但其休闲用户和发行历史与本项目相关。,Family Island 类项目可从休闲冒险、模拟经营、长期内容和女性/家庭向用户角度切入。,发行；分发；资产合作；收购可能性不确定,Business Development / publishing leadership,官网 support/contact / LinkedIn / 前员工或集团转介绍,76,第二波触达。先确认当前是否仍评估外部移动项目。,https://www.bigfishgames.com/us/en/company.html,https://www.bigfishgames.com/us/en/games.html,https://www.gamesindustry.biz/aristocrat-sells-big-fish-games-to-bfg-entertainment,https://bigfishgames.zendesk.com/hc/en-us/sections/115000328528-Contact-Us
12,B,Makers Fund,US / Global,"San Francisco, CA / London",https://makersfund.com/,"全球 games/interactive entertainment VC；公开 portfolio 覆盖 Dream Games, TrailMix, Theorycraft 等。","投资/组合：Dream Games/Royal Match, Theorycraft, TrailMix/Love & Pies, FRVR, Mainframe, Mino Games",info@makersfund.com,第三方机构档案列 info@；官网主要使用 Contact Us/团队引荐。,纯游戏投资机构,游戏和互动娱乐专项基金，适合早中期游戏公司融资和并购路径讨论。,可评估已验证美国测试数据的移动游戏团队，但不会替代发行商。,股权投资；桥接融资；战略转介,Investment team,官网 contact / partner LinkedIn / portfolio intro,76,第二波投资线触达。准备融资版 teaser 和 12 个月里程碑预算。,https://makersfund.com/,https://makersfund.com/portfolio/,https://makersfund.com/team/,
13,B,TapBlaze,US,"Los Angeles, CA",https://www.tapblaze.com/,"洛杉矶小到中型休闲模拟工作室；Good Pizza, Great Pizza 跨 iOS/Android/Steam/Switch，多平台长线运营。","Good Pizza, Great Pizza; Good Coffee, Great Coffee; Homecraft; My Pizza Shop 系列",pizza@tapblaze.com,Good Pizza 社区/支持资料常用 pizza@；未找到公开公司 BD 邮箱。,休闲模拟开发发行商,"美国小到中型移动休闲工作室，代表作 Good Pizza, Great Pizza；不一定是买方，但品类经验非常贴近。",餐厅模拟和 cozy 休闲运营与 Family Island 类用户存在重合，适合谈合作、发行建议或小规模战略合作。,联合开发；发行建议；小规模合作；收购可能性低,Founder / Business Development,官网 contact / LinkedIn,75,第二波触达。更像合作伙伴或行业转介绍，不要把收购诉求放得太重。,https://www.tapblaze.com/,https://www.tapblaze.com/games/,https://play.google.com/store/apps/dev?id=5416792938617747564,
14,B,Konvoy,US,"Denver, CO",https://www.konvoy.vc/,美国游戏专项 VC；公开基金信息显示 Fund III $150M，游戏/平台/基础设施投资网络。,"投资/组合：Axie Infinity/Sky Mavis, Ready Player Me, Genopets, Carry1st, Metafy, Windwalk",未找到公开通用投资邮箱；使用官网 contact/newsletter form 和合伙人 LinkedIn,官网 About/Contact 以表单和团队页为主；建议走 warm intro。,纯游戏投资机构,美国游戏专项 VC，关注游戏、平台和相关技术，适合作为融资与买方网络入口。,对产品 KPI、团队效率和市场验证敏感，能帮助判断项目是否达到融资门槛。,股权投资；桥接融资；买方/发行商介绍,Investment team,官网 contact / partner LinkedIn,74,第二波投资线触达。把现金流缺口表述为明确 runway 与里程碑，而不是危机叙事。,https://www.konvoy.vc/,https://www.konvoy.vc/portfolio,https://www.konvoy.vc/team,https://www.konvoy.vc/about
15,B,Storm8 / Stillfront,US / Sweden,"San Mateo, CA",https://www.storm8.com/,Storm8 为 Stillfront 旗下美国移动游戏工作室；历史累计 1B+ downloads 级别公开说法。,"Restaurant Story, Dragon Story, Property Brothers Home Design, Home Design Makeover, Castle Story, Bubble Mania",publishing@storm8.com; businessdevelopment@storm8.com; ua@storm8.com; pr@storm8.com,Storm8 官网 Contact 页公开 Publishing/BD/UA/PR 邮箱。,移动休闲/社交游戏工作室,美国移动游戏老牌工作室，现属 Stillfront；曾在休闲、社交和女性向移动用户上有较强经验。,品类和用户画像有相关性，但决策链可能在母集团，外部收购/发行意愿需确认。,发行/运营合作；资产收购；集团层面投资/并购,Storm8 leadership / Stillfront M&A,官网 contact / Stillfront corporate contact / LinkedIn,73,第二波触达，同时抄送或并行找 Stillfront 投资并购入口。,https://www.storm8.com/,https://www.storm8.com/games/,https://www.stillfront.com/en/portfolio/storm8/,https://www.storm8.com/contact/
16,B,Kabam,Canada,"Vancouver, BC",https://www.kabam.com/,Netmarble 旗下北美 F2P 工作室；Marvel Contest of Champions 为十亿美元级长线产品。,"Marvel Contest of Champions, Shop Titans, King Arthur: Legends Rise, Disney Mirrorverse, Transformers: Forged to Fight",press@kabam.com; media@kabam.com; contact@kabam.com,官网有 Contact Press/Support 入口；公开资料列 press/media/contact，商务建议 LinkedIn/Netmarble 路径并行。,移动 F2P 研运发行公司,北美移动 F2P 和 IP 改编强公司，产品集中在中重度和授权 IP，行业地位高于一般中腰部发行商。,玩法不完全贴合，但其 F2P 长线运营、IP、买量和集团资源值得作为战略买方备选。,战略合作；项目/团队收购；发行可能性中低,Business Development / Studio leadership / Netmarble group route,官网 contact / LinkedIn / Netmarble 转介绍,72,第二波或第三波触达。更强调 F2P 运营和美国测试，而不是 cozy 模拟品类。,https://www.kabam.com/,https://www.kabam.com/games/,https://www.netmarble.com/en/company/about,https://kabam.com/index.php
17,B,Transcend Fund,US,"San Francisco, CA",https://transcend.fund/,2020 年成立的游戏/数字娱乐早期基金；LinkedIn 显示 2-10 人；合伙人具备 70+ years operator experience。,"投资/组合：Gardens, Fuse Games, Odyssey Interactive, Elodie Games, Theorycraft-related networks",pitch@transcend.fund; info@transcend.fund,Crunchbase/PEI 档案列 pitch@/info@；官网主要 Contact Us。,纯游戏投资机构,专注游戏和数字娱乐的投资基金，适合对接早期到成长期游戏团队。,可作为融资和买方转介入口，尤其当发行合作短期难落地时。,股权投资；战略转介；桥接融资,Investment team,官网 contact / partner LinkedIn,72,第二波投资线触达。强调美国市场测试、低成本验证和资金用途。,https://transcend.fund/,https://transcend.fund/portfolio/,https://transcend.fund/team/,https://www.transcend.fund/
18,B,Fortis Games,US,"Las Vegas, NV",https://www.fortisgames.com/,Savvy Games Group 旗下全球游戏工作室网络；公开招聘/销售资料显示约 251-500 人级。,暂无已大规模发布旗舰产品；团队来自 Zynga/WB/EA 等，主打 original social games pipeline。,未找到公开通用邮箱；使用 Fortis/Savvy 官网 contact form 和 LinkedIn,官网未公开具体邮箱；集团层面可走 Savvy Contact form。,新兴全球游戏集团/工作室网络,Savvy Games Group 旗下全球工作室网络，北美有重心，资金背景强，但不是传统第三方移动发行商。,适合尝试团队并入、联合开发或项目收购讨论；是否接受外部项目需要确认。,团队收购；联合开发；项目合作；战略投资可能性,Studio leadership / corporate leadership,官网 contact / LinkedIn / Savvy network intro,70,第二波末触达。重点问是否评估外部移动项目或团队并入机会。,https://www.fortisgames.com/,https://www.savvygames.com/en/our-companies/fortis/,https://www.gamesindustry.biz/fortis-appoints-jeremy-gorman-as-ceo,https://www.savvygames.com/contact/
19,B,a16z Games,US,"Menlo Park, CA",https://a16z.com/games/,a16z Games Fund One 为 $600M 专项游戏基金；a16z 总体为大型多阶段 VC 平台。,"投资/组合：Roblox, Discord, Sky Mavis, Singularity 6, Mainframe, Voldex, Voldex-like UGC/games deals",未找到公开 games 专项收件邮箱；使用 Speedrun/application form、官网团队 LinkedIn 或 warm intro,a16z Games 公开鼓励 builders 联系，但未列通用邮箱；不要猜测个人邮箱。,大型 VC 游戏基金,美国顶级 VC 的游戏专项平台，投资能力强，但对项目门槛和增长故事要求高。,如果 CPI/留存达到可融资阈值，可作为投资线高质量但高门槛对象。,股权投资；战略转介,Games investment team,官网 / partner LinkedIn / portfolio warm intro,70,第二波投资线触达。需要更强的市场规模、团队叙事和数据可信度。,https://a16z.com/games/,https://a16z.com/introducing-games-fund-one/,https://a16z.com/portfolio/,https://a16z.com/games-fund-one-building-the-future-of-games/
20,B,AppLovin,US,"Palo Alto, CA",https://www.applovin.com/,纳斯达克上市广告技术公司；2025 年出售 apps/games business 给 Tripledot 后核心为 Axon/广告平台。,"AppDiscovery, MAX, Adjust, Wurl, Axon；原游戏资产包括 Lion Studios、Machine Zone、PeopleFun、Magic Tavern",info@applovin.com; sales@applovin.com; press@applovin.com; ir@applovin.com,官网 Contact/IR 页公开 general/sales/press/IR 邮箱。,广告技术/发行生态入口,已经不应被当作传统游戏发行商：2025 年出售游戏业务给 Tripledot 后，核心是广告技术和平台，但仍可能通过 Tripledot 股权与生态转介产生价值。,不是首选买方；更适合作为 UA、发行商转介或间接触达 Lion/Tripledot 的生态入口。,UA/增长合作；生态转介；间接投资/收购路径,Business Development / AppLovin ecosystem contacts,官网 contact / LinkedIn / Tripledot route,67,不作为纯发行买方优先触达；如有 AppLovin 关系，可请其转给 Tripledot/Lion。,https://www.applovin.com/,https://www.applovin.com/blog/applovin-sells-apps-business-to-tripledot-studios/,https://investors.applovin.com/,https://blog.applovin.com/contact/
21,B,Scopely,US,"Culver City, CA",https://www.scopely.com/,2023 年 Savvy 以 $4.9B 收购；2025 收购 Niantic games business；美国移动游戏头部。,"MONOPOLY GO!, Star Trek Fleet Command, MARVEL Strike Force, Stumble Guys, Yahtzee with Buddies, Pokémon GO/Niantic games business",未找到公开商务邮箱；使用官网 Contact 选择 Developer Partners,官网 Contact 表单支持 Developer Partners；未公开通用 BD 邮箱。,战略上限参照,北美移动游戏绝对强势公司之一，地位明显高于三七互娱/益世界的类比层级；作为买方可试，但不应作为主要对标。,如果数据非常强，休闲冒险/模拟可作为其移动 F2P portfolio 延展；否则冷启动触达难度高。,收购；战略投资；发行/合作可能性低,Corporate Development / studio leadership,官网 / LinkedIn / 投资并购转介绍,66,作为 stretch target。不要第一批消耗冷邮件，优先找 warm intro。,https://www.scopely.com/,https://www.scopely.com/en/news/scopely-to-acquire-niantic-games-business-which-includes-pokemon-go-one-of-the-most-successful-mobile-games-of-all-time,https://www.pocketgamer.biz/the-top-50-mobile-game-makers-of-2024/,https://www.scopely.com/en/contact
22,B,Zynga / Take-Two Mobile,US,"San Mateo, CA / New York, NY",https://www.zynga.com/,Take-Two 2022 以约 $12.7B 收购 Zynga；移动游戏大集团部门。,"FarmVille, Words With Friends, CSR Racing, Empires & Puzzles, Merge Dragons!, Toon Blast, Match Factory!",Press@zynga.com,Take-Two/Zynga 合并公告公开 Press@；商务/Corp Dev 建议 Take-Two 路径和 warm intro。,战略上限参照,北美移动游戏巨头/大集团移动部门，地位高于三七互娱式对标；但有成熟移动发行、并购和 IP 资源。,对已验证美国市场的休闲/模拟 F2P 项目理论上相关，但外部项目冷启动门槛高。,收购；战略合作；发行可能性低,Take-Two corporate development / Zynga leadership,官网 / LinkedIn / 投资银行或行业转介绍,65,作为 stretch target。除非有强引荐或数据很突出，否则排在 Tilting Point/Jam City 后。,https://www.zynga.com/,https://www.take2games.com/ir/news/take-two-interactive-software-inc-completes-combination-with-zynga-inc,https://www.take2games.com/,https://ir.take2games.com/node/28346/pdf
23,B,SciPlay / Light & Wonder,US,"Las Vegas, NV",https://www.sciplay.com/,Light & Wonder 2023 收购 SciPlay 剩余股权；SciPlay 曾为上市社交 casino 公司。,"Jackpot Party Casino, Quick Hit Slots, Gold Fish Casino, MONOPOLY Slots, Bingo Showdown, 88 Fortunes Slots",ir@lnw.com,Light & Wonder/SciPlay 交易资料公开 IR 邮箱；游戏合作更适合 L&W Digital/LinkedIn。,社交娱乐场/移动游戏公司,美国社交 casino 和 casual mobile 上市/集团型玩家，资金和运营能力强，但品类偏社交娱乐场。,Family Island 类游戏与其核心品类有距离，但休闲用户、LiveOps 和美国市场验证可作为切入点。,收购；战略投资；发行合作可能性中低,Corporate Development / Light & Wonder digital leadership,官网 contact / investor relations / LinkedIn,64,第三波触达。除非游戏变现偏广告/社交 casino，否则优先级低于休闲模拟发行商。,https://www.sciplay.com/,https://www.sciplay.com/games/,https://www.lnw.com/company/sciplay/,https://s202.q4cdn.com/259407146/files/doc_news/2023/05/may-18-23-pr.pdf
24,B,Lightspeed Gaming,US,"Menlo Park, CA",https://lsvp.com/sectors/gaming/,Lightspeed 为全球多阶段 VC，公开资料显示 backed 500+ companies，资金规模为数百亿美元级。,"投资/组合：Epic Games, Snap, Stability AI, Polygon, Alchemy, Multiverse, gaming/consumer portfolio",mp-reception@lsvp.com; legal@lsvp.com,官网 US office 页公开 mp-reception@；legal@ 仅法律事务。,大型 VC 游戏投资线,Lightspeed 的游戏投资线在北美有影响力；不是游戏发行商，但能做融资和高质量转介。,适合数据达到融资门槛、需要桥接资金和发行商网络时触达。,股权投资；战略转介,Gaming investment partners,官网 / partner LinkedIn / portfolio warm intro,64,第三波投资线。需要把 KPI 和资金用途压缩成 1-page investor memo。,https://lsvp.com/sectors/gaming/,https://lsvp.com/portfolio/,https://lsvp.com/team/,https://lsvp.com/global-presence/lightspeed-united-states/
25,C,Sunblink,US,"Boulder, CO",https://www.sunblink.com/,LinkedIn 显示 11-50 人；Boulder 小型 cozy/life-sim 工作室。,Hello Kitty Island Adventure,support@sunblink.com; sunblink@fortyseven.com,Steam 官方支持页列 support@；官网/社区资料可见 sunblink@fortyseven.com。,cozy/life-sim 工作室,小到中型工作室，因 Hello Kitty Island Adventure 在 cozy/life-sim 方向具备可比经验，但不是典型发行商。,玩法情绪和人群接近，适合行业交流、联合开发或转介绍，不适合作为主要收购买方。,联合开发；行业转介绍；小规模合作,Founder / studio leadership,官网 / LinkedIn,62,第三波触达。语气偏合作和交流，少谈急迫融资。,https://www.sunblink.com/,https://www.sunblink.com/games,https://www.apple.com/newsroom/2023/07/hello-kitty-island-adventure-launches-on-apple-arcade/,https://help.steampowered.com/en/wizard/HelpWithGameTechnicalIssue?appid=2495100
26,C,Rogue Games,US,"Los Angeles, CA",https://www.rogueco.com/,美国独立发行商；Steam/官网 portfolio 覆盖数十款 premium/indie titles。,"Dust & Neon, The Last Case of Benedict Fox, Wipeout Rush, Sprawl, Arcanium, Wonderputt Forever",未找到公开邮箱；使用官网 Developer / BD / Media contact forms,官网 Contact 页按 Player/Developer/Media/BD 分流，但不直接列邮箱。,独立游戏发行商,美国独立发行商，覆盖 PC/console/mobile，但不是移动休闲头部。,如果项目可以包装为跨平台 cozy/adventure，可能有讨论空间；纯移动 F2P 买量能力需验证。,发行；联合开发；平台发行,Publishing / Business Development,官网 contact / LinkedIn,61,第三波触达。若游戏仍是纯移动 F2P，优先级低于 Tilting Point 和 Jam City。,https://www.rogueco.com/,https://www.rogueco.com/games,https://www.rogueco.com/contact,https://rogueco.com/contact/
27,C,Galaxy Interactive,US,"New York, NY",https://www.galaxy.com/interactive/,Galaxy Interactive 公开披露 $650M AUM across two funds、75+ portfolio companies。,"投资/组合：Mythical Games, Genvid, Immutable, GreenPark, StockX, Bad Robot Games, 1047 Games",abuse@galaxy.com; media contact form,官网只公开 abuse@ 用于可疑邮件上报；投资/媒体建议用官网 Contact/LinkedIn。,游戏/互动娱乐投资机构,互动娱乐、游戏和数字资产相关投资平台，适合融资线补充。,不适合只谈发行；适合把项目作为互动娱乐/游戏团队融资机会递交。,股权投资；战略转介,Investment team,官网 / LinkedIn / portfolio warm intro,61,第三波投资线。若产品指标不错但缺少发行方，作为备选融资入口。,https://www.galaxy.com/interactive/,https://www.galaxy.com/businesses/galaxy-ventures/,https://www.galaxy.com/,https://interactive.galaxy.com/contact/
28,C,Product Madness / Aristocrat,US / Australia,"Las Vegas, NV / London",https://www.productmadness.com/,Aristocrat 旗下全球 social casino mobile studio；公开招聘资料显示 550+ employees/501-1000 人级。,"Heart of Vegas, Cashman Casino, Lightning Link Casino, FaFaFa Gold, Big Fish Casino",support@productmadness.com; mobile@productmadness.com,官网 TOS 公开 support@；第三方资料列 mobile@，商务需核验。,社交 casino 移动公司,Aristocrat 旗下社交 casino 移动游戏公司，资金和运营强，但品类偏差较大。,除非项目变现更偏广告/社交娱乐场用户，否则仅作为拓展名单。,收购；战略合作；发行可能性低,Aristocrat digital / Product Madness leadership,官网 contact / LinkedIn,60,第三波后段触达。话术重点放在美国用户验证和休闲运营，不要强调 farming sim。,https://www.productmadness.com/,https://www.productmadness.com/games/,https://www.aristocrat.com/businesses/product-madness/,https://www.productmadness.com/terms-of-service/
29,C,Armor Games Studios,US,"Irvine, CA",https://armorgamesstudios.com/,老牌 web/indie 发行品牌；ArmorGames.com 长期运营，2024 年后 publishing team 状态需核验。,"Bear and Breakfast, The Last Stand: Aftermath, Soda Dungeon, GemCraft, Sonny, Infernax",未找到公开商务邮箱；使用官网 Contact/Publisher inquiry form,官网 Contact 页面向 developers，但不直接列邮箱。,独立发行商,美国独立游戏发行商，有 web/PC/console/mobile 历史，但不是移动买量发行商。,若游戏可转为 premium/cozy 或多平台体验，可能有发行讨论；纯 F2P 移动项目适配一般。,发行；平台合作；联合开发,Publishing / submissions,官网 submission / contact,59,第三波触达。适合拿来拓展，但不是解决现金流的首要对象。,https://armorgamesstudios.com/,https://armorgamesstudios.com/games/,https://armorgamesstudios.com/contact/,https://armorgamesstudios.com/contact
