ID,Tier,Priority Rank,Company,Country,HQ,Website,Entity Type,Key Games / Publishing Cases,Strategic Fit (30),Investment/M&A Signal (25),Casual/Relevance (20),Funds/Publishing (15),Reachability (10),Total Score,Possible Deal Types,Best Entry / Department,Public Contact / Entrance,Contact URL,Recommended Angle,Evidence Note,Source 1,Source 2,Source 3,Source Count,Confidence,Next Step,Outreach Status,Last Verified,Owner,Notes,Company Scale,Representative Works,Public Contact Email,Email Note
KR-011,A,11,Smilegate Megaport,Korea,"Seongnam, Korea",https://www.smilegate.com/en/,Private game group and publisher,Epic Seven; Lost Ark; Smilegate Megaport publishing; global publishing announcements,21,17,16,14,8,76,Publishing; MG; strategic partnership; minority investment,Smilegate Megaport; Global Business; Investment,Smilegate corporate contact; LinkedIn; Megaport business page,https://www.smilegate.com/en/,Lead with global-ready mobile F2P and ask whether Megaport wants a US-tested casual simulation title.,Smilegate official site highlights publishing activity and global business expansion.,https://www.smilegate.com/en/,https://www.smilegate.com/business/megaport.do,https://www.smilegate.com/en/news/list.do,3,High,Send to Megaport/global publishing; include short KPI benchmark table.,Not Started,2026-06-02,,,Smilegate 集团发行板块；集团级公司，全球员工/业务规模千人级。,Epic Seven、Lost Ark 全球业务、Smilegate Megaport 发行体系。,sgp_biz@smilegate.com,Smilegate Megaport 业务页公开邮箱。
JP-012,A,12,KLab,Japan,"Tokyo, Japan",https://www.klab.com/en/,Public mobile online game developer/publisher,Bleach: Brave Souls; Captain Tsubasa; overseas game development support model,20,15,17,12,8,72,Publishing; co-development; Japan/IP collaboration; MG,Overseas Game Development Support; Business Development,Corporate inquiry; press/business contact,https://www.klab.com/en/contact/,"Emphasize that the game does not require major Japanese IP, but can leverage KLab's global mobile operating experience.",KLab official releases describe global mobile launches and overseas support model.,https://www.klab.com/en/,https://www.klab.com/en/press/release/2025/0801/flyhigh.html,https://www.klab.com/en/ir/,3,High,Approach BD with KPI teaser and ask for publishing/MG evaluation.,Not Started,2026-06-02,,,上市移动游戏公司；资本金约89.3亿日元，移动游戏开发运营团队。,Bleach: Brave Souls、Captain Tsubasa: Dream Team、Love Live! 相关历史项目。,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.klab.com/en/contact/
KR-013,A,13,Kakao Games,Korea,"Seongnam, Korea",https://www.kakaogamescorp.com/en,Public game publisher,"Odin, Uma Musume KR, Eversoul; PC/mobile publishing",19,17,15,13,8,72,Publishing; MG; strategic investment; Korea/Japan operation,Global Business; Mobile Publishing; Investment,Corporate contact and IR pages,https://www.kakaogamescorp.com/en/customer/contact,Pitch as a mobile F2P project with US proof and a clear Japan/Korea localization path.,Official site positions Kakao Games as global multi-platform publisher with mobile portfolio and IR materials.,https://www.kakaogamescorp.com/en,https://www.kakaogamescorp.com/en/ir/irData,https://www.kakaogamescorp.com/en/game,3,High,Use corporate contact plus LinkedIn; ask for mobile publishing review.,Not Started,2026-06-02,,,上市游戏发行商；年收入数千亿韩元级，拥有 XLGAMES/Lionheart/Ocean Drive 等工作室。,Odin: Valhalla Rising、Uma Musume KR、Eversoul、ArcheAge War。,contact@kakaogames.com,官网 Contact 页面公开邮箱；页面标注 receive-only，建议并行表单/LinkedIn。
KR-014,A,14,NEOWIZ,Korea,"Seongnam, Korea",https://www.neowiz.com/,Public publisher/developer,"Lies of P, BrownDust2, Sanabi; global IP collaborations and publishing",20,17,14,13,8,72,Publishing; co-development; strategic investment,Global Publishing; Business Development; Corporate Strategy,Corporate inquiry; Steam publisher page; IR,https://www.neowiz.com/neowiz,"Position as external global IP candidate, with mobile casual economics distinct from their PC/console pipeline.",Recent investor/news coverage shows focus on global IP and partner collaborations; official IR has in-house/publishing pipeline.,https://cdn.neowiz.com/neowiz-site/assets/ir-library/Q1-2025_NWZ_PPT_EN-dggcl9vz-xkoamocn.pdf,https://www.neowiz.com/neowiz,https://store.steampowered.com/publisher/NEOWIZ,3,High,Approach global publishing; frame as portfolio diversification more than core genre match.,Not Started,2026-06-02,,,上市发行/开发公司；年收入数千亿韩元级，PC/主机/移动组合。,Lies of P、BrownDust2、Sanabi、DJMAX RESPECT。,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.neowiz.com/neowiz
JP-015,A,15,COLOPL,Japan,"Tokyo, Japan",https://colopl.co.jp/en/,Public mobile game developer/publisher,Shironeko/White Cat Project; mobile apps; investment through COLOPL NEXT,18,16,16,12,7,69,Strategic investment; publishing; co-development,COLOPL NEXT; Game Business; BD,Corporate inquiry and COLOPL NEXT,https://www.coloplnext.co.jp/en/,Pitch as a mobile casual-adventure studio with US proof and potential portfolio extension.,COLOPL official pages cover mobile entertainment; COLOPL NEXT provides venture investment pathway.,https://colopl.co.jp/en/,https://www.coloplnext.co.jp/en/,https://colopl.co.jp/en/ir/,3,High,Approach COLOPL NEXT and game business in parallel.,Not Started,2026-06-02,,,上市移动游戏公司；年收入数百亿日元级，另有 COLOPL NEXT 投资平台。,White Cat Project、Dragon Project、Alice Gear Aegis；COLOPL NEXT 投资。,help@colopl.jp,官网 Contact 页面公开 help@；偏客服/通用邮箱，另有多款游戏 support 邮箱已排除；BD仍建议并行 COLOPL NEXT/官网入口。
JP-016,A,16,gumi,Japan,"Tokyo, Japan",https://gu3.co.jp/en/,Public mobile/blockchain game company; investor in emerging entertainment,"Brave Frontier heritage, FFBE, blockchain/game investments",18,16,15,12,8,69,Publishing; co-development; strategic investment; asset deal,Game business; Investment/Blockchain strategy; BD,Corporate inquiry; IR contact,https://gu3.co.jp/en/contact/,Position as a proven F2P mobile project with less speculative risk than early blockchain content.,gumi official pages describe mobile online game experience and investment/business cooperation in emerging entertainment.,https://gu3.co.jp/en/,https://gu3.co.jp/en/blockchain/,https://gu3.co.jp/en/ir/,3,High,Approach corporate/BD; emphasize real CPI/retention proof and flexible deal structure.,Not Started,2026-06-02,,,上市移动游戏/区块链娱乐公司；年收入百亿日元级。,Brave Frontier、Final Fantasy Brave Exvius、Aster Tatariqus。,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://gu3.co.jp/en/contact/
JP-017,A,17,GungHo Online Entertainment,Japan,"Tokyo, Japan",https://www.gungho.co.jp/en/,Public mobile/online game publisher,Puzzle & Dragons; mobile/console publishing; global subsidiaries,18,15,16,13,7,69,Publishing; MG; co-development; minority investment,Business Development; Global Publishing,Corporate inquiry; IR contact,https://www.gungho.co.jp/en/contact/,Frame as a casual F2P simulation project with proven retention and low creative risk.,"Official corporate pages show mobile game operations, global group, and investor communications.",https://www.gungho.co.jp/en/,https://www.gungho.co.jp/en/ir/,https://www.gungho.co.jp/en/game/,3,High,Send polished teaser; ask if mobile publishing or investment team should review.,Not Started,2026-06-02,,,上市移动/在线游戏公司；年收入千亿日元级，Puzzle & Dragons 为核心。,Puzzle & Dragons、Ragnarok Online DS/相关合作、Ninjala。,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.gungho.co.jp/en/contact/
KR-018,A,18,Supercent,Korea,"Seoul, Korea",https://supercent.io/,Mobile casual/hypercasual publisher,Hyper/hybrid-casual publishing; test-driven mobile publishing,17,13,20,11,8,69,Publishing; MG; UA partnership; lightweight investment,Publishing; Developer Relations,Publishing submission/contact form,https://supercent.io/,Lead with CPI/retention details and ask for hybrid-casual scaling perspective.,Official site positions Supercent around casual mobile publishing and developer partnerships.,https://supercent.io/,https://www.linkedin.com/company/supercent/,https://supercent.io/contact,3,High,Submit through publisher intake; suited for rapid test feedback.,Not Started,2026-06-02,,,中小型休闲手游公司；公开公司资料常见规模约51-200人级。,Burger Please!、Outlets Rush、Pizza Ready!、Snake Clash；官网显示累计下载 1.5B+、累计收入 $380M+。,help@supercent.io,官网英文 About、韩文公司页、Terms/Privacy 等页面均公开 help@supercent.io；偏通用/客服邮箱，BD仍建议并行 Submit Your Game/Publishing 入口。
KR-019,A,19,111Percent,Korea,"Seoul, Korea",https://111percent.net/en/,Casual/hypercasual mobile game company,Random Dice; casual mobile portfolio; publishing label Supercent connection,17,12,20,10,8,67,Publishing; UA partnership; strategic collaboration,Publishing; Business Development; Supercent relationship,Official site/contact; LinkedIn,https://111percent.net/en/contact/,Position as proven casual-sim title; ask whether 111% or Supercent is the right evaluation path.,Official site lists mobile casual portfolio and company focus.,https://111percent.net/en/,https://111percent.net/en/games/,https://www.linkedin.com/company/111percent/,3,High,Route to Supercent/111% BD; use data-first opener.,Not Started,2026-06-02,,,中小型休闲手游公司；公开公司资料常见规模约51-200人级。,Random Dice 系列、B.B.TAN、Wild Tamer；Supercent 生态相关。,business@111percent.net; branding@111percent.net; marketing@111percent.net,官网 Contact 页需浏览器渲染后可见邮箱；BD优先 business@，branding@/marketing@ 作为合作或营销转接，help@/recruit@ 不作为商务首选。
JP-020,A,20,KADOKAWA,Japan,"Tokyo, Japan",https://group.kadokawa.co.jp/global/,Public media/IP group with game holdings,FromSoftware/Spike Chunsoft links; game/IP investment and alliances; anime/media distribution,18,16,12,14,6,66,Strategic investment; IP/game partnership; acquisition if IP angle strong,Game business; Corporate Strategy; Investment/Alliance,Corporate inquiry; IR; group contacts,https://group.kadokawa.co.jp/global/contact/,"Best if pitched as an original world/IP plus mobile live-service system, not just a pure UA play.",KADOKAWA integrated reports discuss game developer investments and IP/global expansion.,https://group.kadokawa.co.jp/global/,https://group.kadokawa.co.jp/ir/library/integrated_report.html,https://group.kadokawa.co.jp/media/ir/media-download/1851/8394a61e1784306e/,3,High,Use IP-led teaser; ask for game investment/alliance route.,Not Started,2026-06-02,,,大型上市媒体/IP集团；集团年收入数千亿日元级，游戏为内容/IP组合之一。,FromSoftware/Spike Chunsoft 相关持股与出版/IP生态；游戏/IP投资合作。,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://group.kadokawa.co.jp/global/contact/
JP-021,B,21,Square Enix,Japan,"Tokyo, Japan",https://www.hd.square-enix.com/eng/,Public entertainment publisher,"Final Fantasy, Dragon Quest, mobile titles; major IP publishing",17,13,13,15,6,64,Publishing; IP collaboration; asset acquisition only if strategic,Mobile/Smart Device Business; Corporate Development,Corporate contact; IR contact; business inquiry,https://www.hd.square-enix.com/eng/contact/,Only worth pushing if the game has IP/world-building depth or can complement their mobile portfolio.,Official reports cover digital entertainment and major IP strategy across platforms including smart devices.,https://www.hd.square-enix.com/eng/,https://www.hd.square-enix.com/eng/ir/library/ar.html,https://www.jp.square-enix.com/,3,High,Send only after adding strong product video and content roadmap.,Not Started,2026-06-02,,,大型上市游戏发行商；集团年收入数千亿日元级。,"Final Fantasy, Dragon Quest, mobile titles; major IP publishing",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.hd.square-enix.com/eng/contact/
JP-022,B,22,Cygames,Japan,"Tokyo, Japan",https://www.cygames.co.jp/en/,Mobile/console game developer under CyberAgent,"Granblue Fantasy, Uma Musume, Shadowverse; global mobile/PC portfolio",17,11,16,13,6,63,Co-development; publishing collaboration; strategic partnership,Business Development; Global Business; CyberAgent SGE,Corporate inquiry; parent-company route,https://www.cygames.co.jp/en/contact/,Use only if creative quality/world-building is strong; Cygames is more likely partner than buyer.,Official company profile lists mobile/console games and CyberAgent relationship.,https://www.cygames.co.jp/en/corporate/profile/,https://www.cygames.co.jp/en/games/,https://report.cyberagent.co.jp/en/game/,3,High,"If no direct route, approach CyberAgent SGE first.",Not Started,2026-06-02,,,中小型游戏发行/开发公司；公开资料未披露收入，按约11-200人级工作室处理。,"Granblue Fantasy, Uma Musume, Shadowverse; global mobile/PC portfolio",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.cygames.co.jp/en/contact/
JP-023,B,23,Konami Digital Entertainment,Japan,"Tokyo, Japan",https://www.konami.com/games/corporate/en/,Public game publisher/developer,"eFootball, Yu-Gi-Oh!, mobile games; global publishing",16,13,13,15,6,63,Publishing; co-development; IP partnership,Digital Entertainment business; Mobile publishing,Corporate contact; IR contact,https://www.konami.com/games/inquiry/,Pitch if metrics are unusually strong; otherwise lower fit due IP/sports/card focus.,Official corporate/game sites show mobile and global digital entertainment operations.,https://www.konami.com/games/corporate/en/,https://www.konami.com/ir/en/,https://www.konami.com/games/us/en/,3,High,Approach as opportunistic B/A borderline; keep email concise.,Not Started,2026-06-02,,,Konami Group 数字娱乐主力；集团年收入数千亿日元级。,"eFootball, Yu-Gi-Oh!, mobile games; global publishing",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.konami.com/games/inquiry/
JP-024,B,24,Akatsuki Games,Japan,"Tokyo, Japan",https://aktsk.com/en/games/,Mobile game developer/publisher,Dragon Ball Z Dokkan Battle co-development; Tribe Nine; mobile operations,16,11,15,11,7,60,Publishing; co-development; strategic partnership,Business Development; Game Production,Corporate contact; Akatsuki group contact,https://aktsk.com/en/contact/,Frame as a mobile service project with US proof and potential co-development/LiveOps support.,Official site lists game portfolio and business focus.,https://aktsk.com/en/games/,https://aktsk.com/en/company/,https://aktsk.jp/en/,3,High,Approach via group contact; keep acquisition ask secondary.,Not Started,2026-06-02,,,中小型游戏发行/开发公司；公开资料未披露收入，按约11-200人级工作室处理。,Dragon Ball Z Dokkan Battle co-development; Tribe Nine; mobile operations,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://aktsk.com/en/contact/
JP-025,B,25,Drecom,Japan,"Tokyo, Japan",https://drecom.co.jp/en/,Public game/media company,"Mobile games, IP/content, Wizardry-related projects",16,12,14,11,7,60,Publishing; co-development; investment; asset deal,Game business; Business Development,Corporate inquiry; IR,https://drecom.co.jp/en/contact/,Pitch as a mobile F2P production with US evidence and room for IP/content expansion.,Official pages show game/content business and investor materials.,https://drecom.co.jp/en/,https://drecom.co.jp/en/ir/,https://drecom.co.jp/en/service/,3,High,Approach BD with teaser; ask whether publishing or investment review is appropriate.,Not Started,2026-06-02,,,上市/挂牌游戏公司；未在本轮补充精确收入，按年收入数十亿至数百亿日元/千亿韩元级处理。,"Mobile games, IP/content, Wizardry-related projects",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://drecom.co.jp/en/contact/
JP-026,B,26,SEGA,Japan,"Tokyo, Japan",https://www.sega.co.jp/en/,Public game publisher/developer within SEGA SAMMY,"Sonic, Persona publishing via Atlus, mobile/F2P portfolio",15,12,12,15,6,60,Publishing; strategic partnership; acquisition only if scale/fit exceptional,Global Publishing; Mobile/F2P; Corporate Development,Corporate inquiry and IR contact,https://www.sega.co.jp/en/contact/,Approach as long-shot strategic publisher; highlight US performance and fit with global live-service ambitions.,Official corporate/IR materials cover games and global entertainment strategy.,https://www.sega.co.jp/en/,https://www.segasammy.co.jp/en/ir/,https://www.sega.co.jp/en/release/,3,High,Treat as B-tier unless warm intro exists.,Not Started,2026-06-02,,,SEGA SAMMY 旗下游戏主力；集团年收入数千亿日元级。,"Sonic, Persona publishing via Atlus, mobile/F2P portfolio",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.sega.co.jp/en/contact/
JP-027,B,27,Marvelous,Japan,"Tokyo, Japan",https://corp.marv.jp/english/,Public entertainment/game publisher,"Story of Seasons, Rune Factory, mobile/console games",15,11,13,12,7,58,Publishing; co-development; IP partnership; MG,Game Business; Global Publishing,Corporate inquiry; IR contact,https://corp.marv.jp/english/contact/,"Interesting because cozy/farming adjacency exists; pitch as mobile casual adventure, not hardcore gacha.",Official site shows game business and global releases.,https://corp.marv.jp/english/,https://corp.marv.jp/english/business/,https://corp.marv.jp/english/ir/,3,High,Use cozy/farming similarity angle; send gameplay-first email.,Not Started,2026-06-02,,,上市/挂牌游戏公司；未在本轮补充精确收入，按年收入数十亿至数百亿日元/千亿韩元级处理。,"Story of Seasons, Rune Factory, mobile/console games",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://corp.marv.jp/english/contact/
KR-028,B,28,CookApps,Korea,"Seongnam, Korea",https://cookapps.com/,Casual/mobile game developer/publisher,"Merge Manor, My Home; casual puzzle/merge mobile portfolio",15,8,19,9,7,58,Publishing; UA collaboration; acquisition-light partnership,Publishing; Business Development,Official contact; LinkedIn,https://cookapps.com/contact,Strong casual/merge adjacency; likely practical feedback even if not a large buyer.,Official site shows casual mobile portfolio and studio/company profile.,https://cookapps.com/,https://cookapps.com/games,https://www.linkedin.com/company/cookapps/,3,Medium,B wave; lead with Family Island/merge-sim metrics.,Not Started,2026-06-02,,,中小型休闲手游公司；公开公司资料常见规模约51-200人级。,"Merge Manor, My Home; casual puzzle/merge mobile portfolio",socialclub@cookapps.com,官网公开邮箱；另有 recruit@，不建议用于BD。
