标题,作者,赞同,评论,创建时间,更新时间,原文链接,命中关键词,正文相关度分,本地Markdown
目前北京市小学排名前50名的都是那些学校？谢谢？,三人行,331,24,2023-08-16 18:34:41 CST,2023-10-21 11:01:08 CST,https://www.zhihu.com/question/493179545/answer/3168506958,东城 学校排名 | 东城区 学校排名 | 北京东城 学校 | 北京东城 小学 | 北京学区 东城 西城 海淀,453,output/zhihu_dongcheng/markdown/321-目前北京市小学排名前50名的都是那些学校？谢谢？-3168506958.md
东城北东学区怎么样？,北京中弘安居大数据,0,0,2025-12-21 15:20:24 CST,2025-12-21 15:20:24 CST,https://www.zhihu.com/question/474569856/answer/1986093643883369093,东城 一派 二派 三派 | 东城 史家 | 东城 龙潭 体育馆路 | 东城区 分司厅 | 东城区 小学 | 北京东城区 小学,384,output/zhihu_dongcheng/markdown/181-东城北东学区怎么样？-1986093643883369093.md
预算650万左右，西城学区陶白，广外，东城龙体，哪个最好？,三人行,17,0,2022-05-10 20:13:37 CST,2022-05-10 20:13:37 CST,https://www.zhihu.com/question/449963116/answer/2479409541,东城 龙体 | 东城区 全区派位 | 东城区 定向名额派位 | 东城区 文汇中学 | 东城区 龙体,369,output/zhihu_dongcheng/markdown/200-预算650万左右，西城学区陶白，广外，东城龙体，哪个最好？-2479409541.md
北京市东城区第25中学和27中学哪个好？,三人行,10,2,2025-07-19 09:48:59 CST,2025-07-19 09:48:59 CST,https://www.zhihu.com/question/470195502/answer/1929840122339254454,东城 171 | 东城 171中学 | 东城 初中 | 东城区 171中学 | 东城区 义务教育 入学 | 东城区 五中分校,368,output/zhihu_dongcheng/markdown/085-北京市东城区第25中学和27中学哪个好？-1929840122339254454.md
到底该不该买西城学区房？,任威康,58,5,2025-04-30 22:59:13 CST,2025-04-30 22:59:13 CST,https://www.zhihu.com/question/335238955/answer/1901047960072091358,东城 1911 | 东城 西城 学区 | 北京学区 东城 西城 海淀,353,output/zhihu_dongcheng/markdown/482-到底该不该买西城学区房？-1901047960072091358.md
北京东城区幼升小问题？,三人行,2,0,2022-05-10 20:11:27 CST,2022-08-10 13:43:21 CST,https://www.zhihu.com/question/312098795/answer/2479406953,东城 和平里一小,351,output/zhihu_dongcheng/markdown/229-北京东城区幼升小问题？-2479406953.md
在北京买学区房，选择东城还是朝阳？,三人行,38,8,2022-04-26 19:40:50 CST,2022-11-24 13:05:16 CST,https://www.zhihu.com/question/442615235/answer/2458804983,东城 171中学 | 东城 1911 | 东城 55中 | 东城 东崇前 | 东城 东朝建 | 东城 买房 上学,348,output/zhihu_dongcheng/markdown/007-在北京买学区房，选择东城还是朝阳？-2458804983.md
孩子26年上学，现在适合买东城的房子吗？,三人行,33,0,2022-08-10 13:51:41 CST,2022-08-10 13:51:41 CST,https://www.zhihu.com/question/473962311/answer/2619383379,东城 55中 | 东城 东崇前 | 东城 东朝建 | 东城 买房 上学 | 东城 二中 | 东城 五中,345,output/zhihu_dongcheng/markdown/012-孩子26年上学，现在适合买东城的房子吗？-2619383379.md
总价600万以内，可以选海淀与东城哪些学区？如果可以的话，最好还能兼顾自住？,三人行,10,0,2022-08-10 13:51:03 CST,2022-08-10 13:51:03 CST,https://www.zhihu.com/question/463277685/answer/2619382247,东城 东崇前 | 东城 东朝建 | 东城 买房 上学 | 东城 二中 | 东城 五中分校 | 东城 分司厅,345,output/zhihu_dongcheng/markdown/031-总价600万以内，可以选海淀与东城哪些学区？如果可以的话，最好还能兼顾自住？-2619382247.md
孩子幼升小到底需要做哪些准备？,三人行,0,0,2024-09-17 19:38:52 CST,2024-09-17 19:38:52 CST,https://www.zhihu.com/question/663551112/answer/3627916178,东城 入学政策 | 东城 幼升小 | 东城区 义务教育 入学 | 东城区 幼升小 | 北京东城 幼升小,327,output/zhihu_dongcheng/markdown/328-孩子幼升小到底需要做哪些准备？-3627916178.md
2023年东城学区买房，有没有最全东城学区解答？,三人行,7,0,2023-04-28 22:32:58 CST,2023-04-28 22:32:58 CST,https://www.zhihu.com/question/579274092/answer/3005345294,东城 多校划片 | 东城 派位 | 东城区 义务教育 入学 | 东城区 买房 上学 | 东城区 入学政策 | 东城区 全区派位,321,output/zhihu_dongcheng/markdown/086-2023年东城学区买房，有没有最全东城学区解答？-3005345294.md
北京学区房，600万预算，买东城最差还是丰台较好？,京管家小助理,1,0,2023-03-06 17:06:05 CST,2023-03-06 17:06:05 CST,https://www.zhihu.com/question/521165950/answer/2924026416,东城 天永,311,output/zhihu_dongcheng/markdown/466-北京学区房，600万预算，买东城最差还是丰台较好？-2924026416.md
海淀西三旗学区和东城安交学区怎么选?,三人行,6,2,2023-06-19 00:21:18 CST,2023-06-19 00:21:18 CST,https://www.zhihu.com/question/543301280/answer/3079887674,东城 入学政策 | 东城 安交 | 东城 校额到校 | 东城区 东崇前 | 东城区 入学政策 | 东城区 全区派位,306,output/zhihu_dongcheng/markdown/108-海淀西三旗学区和东城安交学区怎么选-3079887674.md
如何评价北京东城区龙体校区的初中？,鸿志万里,12,1,2024-02-13 17:57:27 CST,2024-02-13 17:57:27 CST,https://www.zhihu.com/question/348480590/answer/3395170833,东城 166中学 | 东城 22中 | 东城 55中 | 东城 一派 二派 三派 | 东城 东四 朝阳门 建国门 | 东城 九年一贯制,294,output/zhihu_dongcheng/markdown/014-如何评价北京东城区龙体校区的初中？-3395170833.md
东西城学区房(平房)你会考虑入手吗?,三人行,9,2,2024-12-17 08:43:44 CST,2024-12-17 08:43:44 CST,https://www.zhihu.com/question/615602224/answer/57076034491,东城 1911 | 东城 22中 | 东城 九年一贯制 | 东城 分司厅 | 东城 安交 | 东城 安定门 交道口,288,output/zhihu_dongcheng/markdown/074-东西城学区房(平房)你会考虑入手吗-57076034491.md
怎样评价北京学区房多校划片、六年一名额新政？,帝呱呱星球,146,14,2020-05-12 18:27:22 CST,2020-05-12 18:32:25 CST,https://www.zhihu.com/question/392758408/answer/1218211931,东城 多校划片 | 东城区 多校划片,278,output/zhihu_dongcheng/markdown/431-怎样评价北京学区房多校划片、六年一名额新政？-1218211931.md
北京较好地段非学区老破小现在可以上车吗？,三人行,3,1,2023-09-18 10:14:50 CST,2023-09-18 10:14:50 CST,https://www.zhihu.com/question/621405682/answer/3215843625,东城 东四 朝阳门 建国门 | 东城 安定门 交道口 | 东城 府学 | 东城 黑芝麻 | 东城区 东四 朝阳门 建国门 | 东城区 史家,278,output/zhihu_dongcheng/markdown/190-北京较好地段非学区老破小现在可以上车吗？-3215843625.md
请问北京东西城，朝阳有哪些好的小学推荐？,三人行,7,0,2023-11-15 13:30:47 CST,2023-11-15 13:30:47 CST,https://www.zhihu.com/question/399400248/answer/3289648526,东城 55中 | 东城 小学 | 东城 广渠门中学 | 东城 府学 | 东城区 22中 | 东城区 55中,271,output/zhihu_dongcheng/markdown/089-请问北京东西城，朝阳有哪些好的小学推荐？-3289648526.md
北京东城区史家实验小学原曙光小学好么？,鸿志万里,1,0,2024-02-13 17:56:16 CST,2024-02-13 17:56:16 CST,https://www.zhihu.com/question/31410725/answer/3395170107,东城 22中 | 东城 东直门中学 | 东城 九年一贯制 | 东城 五中分校 | 东城 北东 | 东城 史家,264,output/zhihu_dongcheng/markdown/038-北京东城区史家实验小学原曙光小学好么？-3395170107.md
东城西中街小学怎么样，接送方便吗，跟地坛小学相比呢?,鸿志万里,1,0,2024-02-13 17:56:46 CST,2024-02-13 17:56:46 CST,https://www.zhihu.com/question/543084517/answer/3395170441,东城 五中分校 | 东城 小学 | 东城区 22中 | 东城区 55中 | 东城区 五中分校 | 东城区 北东,261,output/zhihu_dongcheng/markdown/155-东城西中街小学怎么样，接送方便吗，跟地坛小学相比呢-3395170441.md
目前北京市小学排名前50名的都是那些学校？谢谢？,京房于哥,45,3,2023-05-25 11:31:35 CST,2023-05-25 11:31:35 CST,https://www.zhihu.com/question/493179545/answer/3043685735,东城 和平里一小 | 东城 学校排名 | 东城 府学 | 东城区 分司厅 | 东城区 史家 | 东城区 和平里一小,257,output/zhihu_dongcheng/markdown/093-目前北京市小学排名前50名的都是那些学校？谢谢？-3043685735.md
在北京学区房真的那么重要吗？到底是家庭教育重要还是学校重要？北京郊区的孩子就没有考上985名校的吗？,李小多,120,19,2022-04-29 17:07:34 CST,2022-04-29 17:07:34 CST,https://www.zhihu.com/question/38406873/answer/2463370531,东城 一派 二派 三派 | 东城 东四 朝阳门 建国门 | 东城 安定门 交道口 | 东城区 安定门交道口,254,output/zhihu_dongcheng/markdown/356-在北京学区房真的那么重要吗？到底是家庭教育重要还是学校重要？北京郊区的孩子就没有考上985名校的吗？-2463370531.md
北京东城的老破小还能买吗？,三人行,2,2,2022-11-14 16:13:27 CST,2022-11-14 16:13:27 CST,https://www.zhihu.com/question/566634296/answer/2758184105,东城区 1911 | 东城区 买房 上学,252,output/zhihu_dongcheng/markdown/281-北京东城的老破小还能买吗？-2758184105.md
没有北京户口，马上上六年级了，要不要留在北京小升初？,京考升学圈,0,0,2023-09-08 12:16:00 CST,2023-09-08 12:16:00 CST,https://www.zhihu.com/question/61909440/answer/3202250473,东城区 全区派位 | 东城区 定向名额派位,247,output/zhihu_dongcheng/markdown/578-没有北京户口，马上上六年级了，要不要留在北京小升初？-3202250473.md
现在北京学区房都在弱化的大前提下，学区房买还是不买？,京管家小助理,3,0,2023-03-02 16:48:14 CST,2023-03-02 16:48:14 CST,https://www.zhihu.com/question/310742721/answer/2918217197,东城 景东 | 东城区 东朝建,240,output/zhihu_dongcheng/markdown/444-现在北京学区房都在弱化的大前提下，学区房买还是不买？-2918217197.md
没有北京户口，娃在北京上学有多难？,一个讲道理的泼妇,33,9,2023-05-08 10:25:04 CST,2023-05-08 10:25:04 CST,https://www.zhihu.com/question/588401683/answer/3018023775,东城 入学政策 | 东城区 义务教育 入学 | 东城区 入学政策 | 东城区 全区派位 | 东城区 多校划片 | 东城区 定向名额派位,237,output/zhihu_dongcheng/markdown/149-没有北京户口，娃在北京上学有多难？-3018023775.md
东城交道口府学学区和西城陶白学区，二选一，让孩子落户哪里？,三人行,0,0,2023-09-14 19:32:53 CST,2023-09-14 19:32:53 CST,https://www.zhihu.com/question/452275167/answer/3211305054,东城 府学 | 东城区 府学,237,output/zhihu_dongcheng/markdown/403-东城交道口府学学区和西城陶白学区，二选一，让孩子落户哪里？-3211305054.md
西安市除了五大，还有哪些好中学？,脑袋疼,959,288,2023-04-25 17:53:51 CST,2024-01-11 22:55:18 CST,https://www.zhihu.com/question/437837667/answer/3000457159,东城区 22中,231,output/zhihu_dongcheng/markdown/590-西安市除了五大，还有哪些好中学？-3000457159.md
北京东城集体户口，大兴刚买房，能不能不迁出集体户口？,三人行,0,0,2024-11-30 09:05:52 CST,2024-11-30 09:05:52 CST,https://www.zhihu.com/question/28427379/answer/44222066797,东城区 166中学 | 东城区 文汇中学 | 黑芝麻胡同小学 东城,225,output/zhihu_dongcheng/markdown/162-北京东城集体户口，大兴刚买房，能不能不迁出集体户口？-44222066797.md
东城交道口府学学区和西城陶白学区，二选一，让孩子落户哪里？,鸿志万里,2,0,2024-02-12 11:43:18 CST,2024-02-12 11:43:18 CST,https://www.zhihu.com/question/452275167/answer/3394040872,东城 安定门 交道口 | 东城 府学 | 东城区 五中分校 | 东城区 安定门交道口 | 东城区 府学 | 府学 胡同 小学 东城,216,output/zhihu_dongcheng/markdown/216-东城交道口府学学区和西城陶白学区，二选一，让孩子落户哪里？-3394040872.md
海淀区一共十七个学区，除了了海淀学区和中关村学区，哪个片区的教育资源相对较好？,京学区字典,77,5,2023-12-09 10:19:20 CST,2023-12-09 10:19:20 CST,https://www.zhihu.com/question/473221460/answer/3319004138,北京学区 东城 西城 海淀,215,output/zhihu_dongcheng/markdown/595-海淀区一共十七个学区，除了了海淀学区和中关村学区，哪个片区的教育资源相对较好？-3319004138.md
孩子明年上小学，是在东城区上好，还是朝阳区呢？,三人行,3,1,2023-08-12 22:12:20 CST,2023-08-12 22:12:20 CST,https://www.zhihu.com/question/345436906/answer/3162537740,东城 166中学 | 东城 171中学 | 东城 1911 | 东城 东崇前 | 东城 东朝建 | 东城 五中分校,215,output/zhihu_dongcheng/markdown/005-孩子明年上小学，是在东城区上好，还是朝阳区呢？-3162537740.md
北京，孩子户口东城，幼儿园在通州上，将来影响在东城幼升小吗？,育路私立学校网,0,0,2024-01-16 15:06:58 CST,2024-01-16 15:06:58 CST,https://www.zhihu.com/question/468303172/answer/3364514287,东城 166中学 | 东城 东朝建 | 东城 和平里一小 | 东城 幼升小 | 东城区 166中学 | 东城区 东崇前,215,output/zhihu_dongcheng/markdown/058-北京，孩子户口东城，幼儿园在通州上，将来影响在东城幼升小吗？-3364514287.md
如何看待教育部提出的「多校划片」政策？学区房真的白买了吗？,大余,71,6,2020-06-12 04:20:47 CST,2020-06-12 04:42:20 CST,https://www.zhihu.com/question/38469581/answer/1278207937,东城 多校划片 | 东城区 多校划片,211,output/zhihu_dongcheng/markdown/366-如何看待教育部提出的「多校划片」政策？学区房真的白买了吗？-1278207937.md
北京东城小升初派位公平吗？,京考升学圈,0,0,2023-09-27 10:48:38 CST,2023-09-27 10:48:38 CST,https://www.zhihu.com/question/404640838/answer/3228392744,东城区 直升,211,output/zhihu_dongcheng/markdown/299-北京东城小升初派位公平吗？-3228392744.md
北京学区，东城有哪些必须看的学区？,三人行,0,0,2024-12-12 09:09:09 CST,2024-12-12 09:09:09 CST,https://www.zhihu.com/question/6636465923/answer/53417104415,东城 东直门中学 | 东城 九年一贯制 | 东城 买房 上学 | 东城 史家 | 东城 学区选择 | 东城 小学,210,output/zhihu_dongcheng/markdown/046-北京学区，东城有哪些必须看的学区？-53417104415.md
孩子要上小学，朝阳和东城怎么选？,鸿志万里,5,0,2024-04-09 00:43:43 CST,2024-04-09 00:43:43 CST,https://www.zhihu.com/question/482255915/answer/3459114594,东城 55中 | 东城 东四 朝阳门 建国门 | 东城 东朝建 | 东城 史家 | 东城 安定门 交道口 | 东城 广渠门中学,207,output/zhihu_dongcheng/markdown/069-孩子要上小学，朝阳和东城怎么选？-3459114594.md
10年后，北京还会有学区房的概念吗？,三人行,4,0,2024-11-21 10:31:05 CST,2024-12-08 09:50:21 CST,https://www.zhihu.com/question/4605623690/answer/36859069826,东城 东朝建 | 东城 北东 | 东城 景东 | 东城 校额到校 | 东城区 东朝建 | 东城区 全区派位,206,output/zhihu_dongcheng/markdown/150-10年后，北京还会有学区房的概念吗？-36859069826.md
孩子幼升小，不抢跑就落后了吗？幼小”衔接，到底接什么？,三人行,2,0,2025-05-03 11:57:13 CST,2025-05-03 11:57:13 CST,https://www.zhihu.com/question/661050920/answer/1901968527059030913,东城 入学政策 | 东城 幼升小 | 东城 景东 | 东城区 入学政策 | 东城区 幼升小 | 东城区 景东,205,output/zhihu_dongcheng/markdown/285-孩子幼升小，不抢跑就落后了吗？幼小”衔接，到底接什么？-1901968527059030913.md
北京二环内的学区房还有上涨空间吗？要不要出手?,三人行,0,0,2024-12-12 09:07:15 CST,2024-12-12 09:07:15 CST,https://www.zhihu.com/question/450051796/answer/53415538021,东城 166中学 | 东城 东朝建 | 东城 五中分校 | 东城 汇文中学 | 东城区 166中学 | 东城区 东朝建,204,output/zhihu_dongcheng/markdown/152-北京二环内的学区房还有上涨空间吗？要不要出手-53415538021.md
如何评价广渠门中学宏志班?,三人行,1,0,2024-11-05 15:50:43 CST,2024-11-05 15:50:43 CST,https://www.zhihu.com/question/67702143/answer/23598056471,东城 171 | 东城 东直门中学 | 东城 九年一贯制 | 东城 五中 | 东城 五中分校 | 东城 初中,203,output/zhihu_dongcheng/markdown/075-如何评价广渠门中学宏志班-23598056471.md
请问北京东城区教育资源和前景如何？如果买东城房子需要考虑学区房吗？需要的话有哪些推荐吗？不要老破小。？,三人行,1,0,2024-11-28 08:52:25 CST,2024-11-28 08:52:25 CST,https://www.zhihu.com/question/459288660/answer/42578471162,东城 五中 | 东城 北东 | 东城 校额到校 | 东城 汇文中学 | 东城区 买房 上学 | 东城区 五中,203,output/zhihu_dongcheng/markdown/020-请问北京东城区教育资源和前景如何？如果买东城房子需要考虑学区房吗？需要的话有哪些推荐吗？不要老破小。？-42578471162.md
在北京500万左右首付可以买到哪些好的学区房？,三人行,2,0,2024-11-09 07:49:18 CST,2024-11-09 07:49:18 CST,https://www.zhihu.com/question/645024124/answer/26679461719,东城 五中,199,output/zhihu_dongcheng/markdown/637-在北京500万左右首付可以买到哪些好的学区房？-26679461719.md
西城陶白和东城区学期和平里、安交片区选择，选哪个更好呢，全部预算550万，孩子计划初中转校过去?,鸿志万里,4,0,2024-02-07 19:30:53 CST,2024-02-07 19:30:53 CST,https://www.zhihu.com/question/462737988/answer/3390331626,东城 22中 | 东城 五中 | 东城 五中分校 | 东城 安交 | 东城 安定门 交道口 | 东城 府学,192,output/zhihu_dongcheng/markdown/064-西城陶白和东城区学期和平里、安交片区选择，选哪个更好呢，全部预算550万，孩子计划初中转校过去-3390331626.md
北京东城区小学排名有了解过的吗？说说哈？,北京叮当,8,2,2023-09-18 15:47:45 CST,2023-09-18 15:47:45 CST,https://www.zhihu.com/question/299581388/answer/3216352709,东城 166中学 | 东城 171 | 东城 171中学 | 东城 一派 二派 三派 | 东城 东崇前 | 东城 东朝建,191,output/zhihu_dongcheng/markdown/002-北京东城区小学排名有了解过的吗？说说哈？-3216352709.md
学区房买北京西城东城，还是朝阳？,西瓜姐教买房,198,25,2022-03-04 16:53:06 CST,2022-03-04 16:58:09 CST,https://www.zhihu.com/question/463574027/answer/2374029931,东城 171 | 东城 171中学 | 东城 东崇前 | 东城 东直门中学 | 东城 九年一贯制 | 东城 买房 上学,185,output/zhihu_dongcheng/markdown/010-学区房买北京西城东城，还是朝阳？-2374029931.md
为什么北京东城西城中考高分段人数不分上下，而高考高分段人数西城碾压东城呢，是和高中好坏有关吗？,三人行,0,0,2025-05-21 10:29:42 CST,2025-05-21 10:29:42 CST,https://www.zhihu.com/question/279645678/answer/1908469482197849460,东城 中招 | 东城 中考 | 东城 五中分校 | 东城 校额到校 | 东城区 中考 | 东城区 二中,179,output/zhihu_dongcheng/markdown/083-为什么北京东城西城中考高分段人数不分上下，而高考高分段人数西城碾压东城呢，是和高中好坏有关吗？-1908469482197849460.md
预算800-900万，北京西城学区房怎么选？,三人行,6,0,2024-11-06 10:23:48 CST,2024-11-06 10:23:48 CST,https://www.zhihu.com/question/348515688/answer/24166676585,东城 西城 学区 | 东城 龙体,168,output/zhihu_dongcheng/markdown/538-预算800-900万，北京西城学区房怎么选？-24166676585.md
近期，北京市城六区均明确提出多校划片方式入学，学期房真的凉凉了吗。?,骑虎难下的左轮君,9,2,2020-05-12 12:16:18 CST,2021-02-24 09:26:12 CST,https://www.zhihu.com/question/393768289/answer/1217422995,东城 多校划片 | 东城区 多校划片,160,output/zhihu_dongcheng/markdown/436-近期，北京市城六区均明确提出多校划片方式入学，学期房真的凉凉了吗。-1217422995.md
在北京一定要买东西海的学区房吗？,三人行,0,0,2024-11-21 10:27:29 CST,2024-11-21 10:27:29 CST,https://www.zhihu.com/question/455850345/answer/36855211163,东城 学区选择 | 东城 景东 | 东城区 全区派位 | 东城区 学区房 | 东城区 学区选择 | 东城区学区,159,output/zhihu_dongcheng/markdown/247-在北京一定要买东西海的学区房吗？-36855211163.md
北京入学施行锁区的意义是什么？是不是造成学区房不公平的最大原因？,三人行,47,8,2022-02-19 13:55:27 CST,2022-11-24 12:56:30 CST,https://www.zhihu.com/question/57412224/answer/2354885655,东城 校额到校 | 东城区 校额到校,145,output/zhihu_dongcheng/markdown/432-北京入学施行锁区的意义是什么？是不是造成学区房不公平的最大原因？-2354885655.md
西城广内和东城龙体小学怎样取舍？,三人行,5,0,2024-01-05 10:37:41 CST,2024-01-05 10:37:41 CST,https://www.zhihu.com/question/514972853/answer/3350539884,东城 一派 二派 三派 | 东城 九年一贯制 | 东城 文汇中学 | 东城 汇文中学 | 东城 龙体 | 东城 龙潭 体育馆路,145,output/zhihu_dongcheng/markdown/130-西城广内和东城龙体小学怎样取舍？-3350539884.md
北京东城、西城、海淀、去哪所小学比较好？,鸿志万里,3,0,2024-04-19 01:09:12 CST,2024-04-19 01:09:12 CST,https://www.zhihu.com/question/648926968/answer/3470887836,东城 22中 | 东城 五中分校 | 东城 安定门 交道口 | 东城 府学 | 东城区 五中分校 | 东城区 安定门交道口,145,output/zhihu_dongcheng/markdown/118-北京东城、西城、海淀、去哪所小学比较好？-3470887836.md
北京东城区幼升小的政策是怎么样的？,北京叮当,0,0,2024-04-24 13:56:59 CST,2024-04-24 13:56:59 CST,https://www.zhihu.com/question/653956425/answer/3476951893,东城 东崇前 | 东城 入学政策 | 东城 分司厅 | 东城 多校划片 | 东城 小学 | 东城 幼升小,142,output/zhihu_dongcheng/markdown/028-北京东城区幼升小的政策是怎么样的？-3476951893.md
北京市教育督导问责实施细则下月实施，「双减」不到位将被问责，具体情况如何？,三人行,0,0,2023-09-26 15:24:30 CST,2023-09-26 15:24:30 CST,https://www.zhihu.com/question/544520901/answer/3227357133,东城区 广渠门中学,140,output/zhihu_dongcheng/markdown/521-北京市教育督导问责实施细则下月实施，「双减」不到位将被问责，具体情况如何？-3227357133.md
东城区小升初政策是什么样的？派位有何填报技巧？若有选拔，如何准备？,京学区字典,5,0,2024-06-18 20:04:15 CST,2024-06-18 20:04:15 CST,https://www.zhihu.com/question/583801379/answer/3534650368,东城 166中学 | 东城 171 | 东城 171中学 | 东城 22中 | 东城 55中 | 东城 一派 二派 三派,137,output/zhihu_dongcheng/markdown/008-东城区小升初政策是什么样的？派位有何填报技巧？若有选拔，如何准备？-3534650368.md
学区房不香了吗？,三人行,26,0,2022-08-24 12:44:01 CST,2022-11-12 11:09:47 CST,https://www.zhihu.com/question/535383942/answer/2642764448,东城区 校额到校,136,output/zhihu_dongcheng/markdown/605-学区房不香了吗？-2642764448.md
在北京买学区房，选择东城还是朝阳？,西瓜姐教买房,8,1,2023-06-16 11:18:30 CST,2023-06-16 11:18:30 CST,https://www.zhihu.com/question/442615235/answer/3076271976,东城 171 | 东城 171中学 | 东城 1911 | 东城 55中 | 东城 东直门中学 | 东城 买房 上学,135,output/zhihu_dongcheng/markdown/017-在北京买学区房，选择东城还是朝阳？-3076271976.md
小学 4 年级转学到东城，东城哪些好些的小学能有名额？,京学区字典,1,0,2024-06-22 16:27:42 CST,2024-06-22 16:27:42 CST,https://www.zhihu.com/question/473983273/answer/3538690434,东城 史家 | 东城 小学 | 东城区 史家 | 东城区 小学,131,output/zhihu_dongcheng/markdown/331-小学-4-年级转学到东城，东城哪些好些的小学能有名额？-3538690434.md
东城西城哪几个学区性价比最高相对安全？,任威康,2,0,2025-07-18 21:11:56 CST,2025-07-18 21:11:56 CST,https://www.zhihu.com/question/470439287/answer/1929649604875486324,东城 校额到校 | 东城 派位,130,output/zhihu_dongcheng/markdown/338-东城西城哪几个学区性价比最高相对安全？-1929649604875486324.md
2022年北京如何买北京学区房?,西瓜姐教买房,19,2,2022-07-28 12:11:53 CST,2022-07-28 12:11:53 CST,https://www.zhihu.com/question/529402605/answer/2596732115,东城 1911 | 东城 买房 上学 | 东城 史家 | 东城 多校划片 | 东城 天永 | 东城 府学,129,output/zhihu_dongcheng/markdown/060-2022年北京如何买北京学区房-2596732115.md
北京市文汇小学和崇文小学怎么选？,鸿志万里,9,0,2024-02-06 23:18:12 CST,2024-02-06 23:18:12 CST,https://www.zhihu.com/question/470701917/answer/3389522609,东城 东崇前 | 东城 广渠门中学 | 东城 文汇中学 | 东城区 东崇前 | 东城区 广渠门中学,129,output/zhihu_dongcheng/markdown/252-北京市文汇小学和崇文小学怎么选？-3389522609.md
